"","STB_a6_1","STB_a6_2","STB_b5_1","STB_b5_2","STB_d4_1","STB_d4_2","STB_wt_1","STB_wt_2"
"FNDC8",0,0,0.0476323710736994,0,0.0550766882299245,0,0,0.0461202471989906
"NLE1",12.3434143598482,7.90054790299707,10.7172834915824,14.1313674528606,11.1805677106747,11.6142369332384,12.7001104562341,12.5447072381254
"UNC45B",0.0489818030152708,0.237968310331237,0.190529484294798,0.113050939622885,0.385536817609471,0.175309236728127,0.496098064696645,0.368961977591925
"SLFN5",0.832690651259604,0.428342958596227,0.428691339663294,0.678305637737308,1.15661045282841,0.613582328548443,1.19063535527195,1.52196815756669
"SLFN11",0,0,0,0,0,0.0438273091820316,0,0
"AC060766.3",0.244909015076354,0.333155634463732,0.285794226442196,0.282627349057212,0.440613505839396,0.350618473456253,0.297658838817987,0.230601235994953
"AC060766.1",0,0,0,0,0,0,0,0
"SLFN12",0.0979636060305416,0.19037464826499,0.0476323710736994,0.395678288680096,0.385536817609471,0.131481927546095,0.347268645287651,0.0461202471989906
"AC015911.1",1.37149048442758,2.04652746884864,1.38133876113728,2.20449332264625,1.92768408804736,1.75309236728127,1.63712361349893,1.24524667437275
"LINC02001",10.0902514211458,13.7545683371455,12.8607401898988,12.8878071170089,11.4559511518243,10.6500361312337,7.78873961573732,8.48612548461426
"PEX12",2.10621752965664,1.95134014471614,2.38161855368497,2.14796785283481,2.58860434680645,1.84074698564533,2.13322167819557,2.58273384314347
"AP2B1",29.2421364001167,27.509136674291,30.7705117136098,33.9718073566768,35.7998473494509,30.8544256641503,50.5523927925881,51.2857148852775
"TAF15",4.01650784725221,4.56899155835975,5.33482556025433,4.57856305472683,5.12213200538298,6.17965059466646,6.0027865828294,4.93486645029199
"AC015849.3",0.342872621106896,0.285561972397485,0.285794226442196,0.395678288680096,0.660920258759094,0.657409637730475,0.347268645287651,0.322841730392934
"AC015849.4",0,0.0475936620662474,0,0.113050939622885,0.0550766882299245,0,0.148829419408993,0
"HEATR9",0.0489818030152708,0.142780986198742,0.238161855368497,0.0565254698114423,0.0550766882299245,0.0876546183640633,0.347268645287651,0.0922404943979811
