"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","STB_wt_1","STB_wt_2"
"THAP3",392.767645294961,-0.146986352625679,0.121997616653923,-1.20482970616256,0.228269049560584,0.402246113694625,20.5384598784411,23.8441678018781
"DNAJC11",734.278126790418,0.125150854387864,0.0843415763635089,1.48385718863576,0.137846811500981,0.28329307207835,35.6694508516888,36.3427547928046
"CAMTA1",296.758524462291,0.0251623862825328,0.117627181686016,0.21391642579433,0.830612230782545,0.903462889145379,14.337234069733,16.3265675084427
"VAMP3",2465.77797240493,-0.0954971729521262,0.0690554674871057,-1.38290531405001,0.166693900696512,0.324431634010706,139.353946373287,131.903906989113
"PER3",30.5271927925343,0.83064291313662,0.414489749779007,2.00401315974519,0.0450686507599759,0.125025319149207,1.28985496821128,0.737923955183849
"PARK7",3007.78010878949,0.181182101477172,0.0776114456256991,2.33447657129038,0.0195707814490261,0.0667727718000892,147.539564440782,138.683583327365
"Y_RNA",188.411724975222,0.0867263782136897,0.141968589176802,0.610884271771442,0.541276198013167,0.701224521826944,8.43366709984296,10.4231758669719
"AL034417.4",191.20250025116,0.554727992013517,0.219144822958105,2.53133058096274,0.0113630696797008,0.0437709195855181,6.89576309928336,7.93268251822638
"ERRFI1",5140.75926773975,-0.116477904024249,0.100719738593472,-1.1564555830946,0.247494857518453,0.424681357038337,290.663856105764,280.96454593625
"RERE",168.441555310054,0.111817437158842,0.150608188295202,0.742439295130973,0.457821218845788,0.633836650638054,7.63991019632833,8.99344820380316
"ENO1",19601.6201194309,0.527537031647421,0.0843624686152759,6.25321947432791,4.020764639249e-10,1.44747527012964e-08,769.448098344496,772.975343055082
"SLC2A5",17.5032527307705,0.428388305108294,0.48407728603107,0.884958492104911,0.376179018758327,0.558352648881485,1.09141574233262,0.368961977591925
"GPR157",698.058753763297,0.458747678498811,0.102273176317189,4.48551316208323,7.27386558529831e-06,9.20187815007617e-05,27.8807112359514,29.194116476961
"MIR34AHG",93.5620583830467,-0.460490278295611,0.202533856052767,-2.27364593392049,0.0229872833229444,0.0750610584148081,5.65551793754175,6.68743584385363
"LINC01759",33.4454818883767,-0.717461253734635,0.307471863658447,-2.33342083791973,0.0196260686546377,0.0668610093850219,2.57970993642255,2.39825285434751
"H6PD",43.6021273611879,-0.901609762424078,0.275698282840921,-3.27027703304307,0.00107442205500189,0.00652105871532938,3.86956490463383,3.13617680953136
"SPSB1",37.538947652915,0.381345778934331,0.349002901432034,1.0926722310032,0.274537736264414,0.456415816985303,1.73634322643826,1.4758479103677
"SLC25A33",169.750175735018,0.541773468153351,0.148583907929272,3.64624592059622,0.000266099330430774,0.00202100757289196,6.6973238734047,6.54907510225666
"TMEM201",53.4455085807991,-0.411337339775449,0.312523471600828,-1.31618063010906,0.188113423380757,0.352450428936437,3.67112567875517,3.22841730392934
"PIK3CD",57.1576034478484,-0.0033032226260001,0.324376793115078,-0.0101832889901844,0.99187505136213,0.994321397657955,2.62931974289222,3.36677804552631
"CLSTN1",45.778285911521,-0.317303584560277,0.263484040109589,-1.20426111740318,0.228488670104983,0.402369985090536,2.82775896877087,2.81333507913842
"LZIC",600.988016293998,-0.241025866552101,0.102594573039853,-2.34930425080548,0.0188085308820403,0.064803797952887,34.9253037546438,36.2505142984066
"NMNAT1",200.726996148593,0.0327729386301807,0.162584848579275,0.201574371268679,0.840249482696737,0.90972756763881,11.1125966492048,9.54689117019105
"UBE4B",501.502495707465,0.256554922723603,0.11127642757186,2.30556397542439,0.0211350081640382,0.0705429283896968,21.9771442660614,23.8902880490771
"KIF1B",183.425823991913,-0.0698843751959522,0.169337491777334,-0.412692868321475,0.679831650579581,0.802388834905238,10.8149378103869,9.08568869820114
"PGD",4032.08593103538,-0.0598759985303685,0.0817070786491554,-0.73281286664858,0.463672572640253,0.638639529434541,216.596415046555,219.025053948006
"DFFA",1546.8591702753,0.409296460510176,0.0959936335406892,4.2637875597936,2.00990546534399e-05,0.000220984370535203,65.5841641528964,64.4299853369898
"PEX14",156.309447515807,-0.0845337853158856,0.160080165756521,-0.528071575365931,0.597449658614138,0.743713267984404,8.58249651925195,8.53224573181325
"TARDBP",889.82435840209,0.287703427596955,0.0962640817029781,2.98868926506421,0.00280176913431011,0.0141548881685274,38.1003313687023,41.8771844566834
"AL109811.3",51.3420879665536,-0.184975466798126,0.275345973523585,-0.67179288816541,0.501715556898542,0.668954075864723,2.82775896877087,3.09005656233237
"SRM",178.508259482851,1.14892289197714,0.166687620309018,6.89267079251106,5.47544906232801e-12,2.7358897031484e-10,5.45707871166309,4.33530323670511
"EXOSC10",1106.99050490451,0.22477898538003,0.0903521640750576,2.48780964663227,0.0128532508064118,0.0481423781690811,50.4035633731791,52.5309615596502
"MTOR",366.940032578323,0.166515685313259,0.145000150121287,1.14838284770033,0.250810551333632,0.428329214801269,17.1153832320342,18.0791369020043
"UBIAD1",314.792160175265,-0.0757688963130024,0.12899982463286,-0.587356583845325,0.556964246120664,0.714028240468909,16.7185047802769,17.6179344300144
"LINC01647",17.4519076724562,0.692266734577091,0.522685613878991,1.32444191344696,0.185356322349033,0.348892987988918,0.694537290575303,0.553442966387887
"FBXO44",39.1869990594739,-0.888705555910516,0.285537672797838,-3.11239335672433,0.00185577048312375,0.0101531515794005,3.37346683993718,2.90557557353641
"FBXO6",356.712812073366,-0.528753336877542,0.353687569982289,-1.49497291325228,0.134921511438928,0.279082340047666,23.9119267183783,24.628212004261
"MAD2L2",277.746133831848,-0.724633573509589,0.155604297269084,-4.65689949588277,3.21007052404606e-06,4.47421334103766e-05,20.4392402655018,20.8924719811427
"AGTRAP",791.361434181167,-0.136998657409975,0.0897261360487786,-1.52685341688511,0.126797465279388,0.266905397972067,47.1293161461813,41.7849439622854
"MTHFR",401.20150934305,-0.147268451200375,0.112871642411456,-1.30474269758148,0.191980477152189,0.357369519117955,23.6142678795603,21.6765161835256
"CLCN6",357.271123137278,0.109081434949137,0.136135665452599,0.801270075600559,0.422975310731503,0.602678832434347,15.4782596185353,19.8778265427649
"KIAA2013",147.75382604122,0.288617260746307,0.172372505013753,1.67438107790613,0.0940557291852824,0.215394799660952,6.64771406693504,6.59519534945565
"PLOD1",1982.01976813308,0.584669328779444,0.0779472591312832,7.50083242561116,6.34138178393053e-14,4.61857864031934e-12,74.3650998980271,76.6518508447223
"MFN2",1744.12971486042,0.0499283727998072,0.0846941942115618,0.589513522911484,0.555516843386788,0.713435146944606,91.1828242912433,86.7983052285002
"MIIP",869.089722661675,0.257866478113251,0.159448512926144,1.61723978092348,0.105826532382508,0.234467084230631,39.4894059498529,39.9401340743258
"TNFRSF1B",821.69771574028,1.0196446102653,0.106545226964334,9.57006371206684,1.06839813521832e-21,1.81916439239877e-19,21.1833873625467,27.4415470833994
"VPS13D",330.813415743262,0.427831717450216,0.147106624040239,2.90831035136247,0.00363387509861114,0.0174892384425135,13.2954281338701,14.2050361372891
"DHRS3",280.478133251878,0.527738101300921,0.139140185631918,3.79285178400582,0.000148927054630277,0.00124435072171187,9.62430245511491,12.4524667437275
"PRAMEF18",104.107976864369,-0.0721476718633762,0.210489740506985,-0.342760990106223,0.73177827543061,0.838294960489652,5.35785909872376,5.94951188866978
"PRAMEF19",25.8349913470893,0.275447168631482,0.381227373691047,0.722527257066038,0.469970373511126,0.642886408233654,1.04180593586295,1.29136692157174
"PRDM2",447.147169980855,0.315929003751105,0.104480708453873,3.02380227341762,0.00249619524147358,0.0128796314670627,18.9013362649422,20.6618707451478
"KAZN",713.285450752117,0.40377511237584,0.0950972886910781,4.24591613423908,2.17702054782519e-05,0.000237905107568061,28.4264191071177,31.7307300729055
"AL031283.1",23.3997028105362,0.465905280652323,0.408538147871421,1.1404205043759,0.254111154440085,0.432383598372055,0.744147097044967,1.15300617997476
"EFHD2",120.084825663143,-0.144137387464643,0.213318895594517,-0.675689732327436,0.499237656317849,0.666637820008997,6.99498271222269,6.54907510225666
"CASP9",186.054743322677,-0.420784401053238,0.167286503358813,-2.51535176242339,0.0118913672439407,0.0452662318047291,11.6583045203712,12.4063464965285
"DNAJC16",327.726216438831,-0.214778520480932,0.133883716219028,-1.60421690214786,0.108666250337615,0.238748566196712,18.4052382002455,19.8778265427649
"CHCHD2P6",60.0854136489026,-0.030939974379319,0.295922473923987,-0.104554324546727,0.916729459708233,0.952102453262239,4.21683354992148,2.16765161835256
"DDI2",645.913928834594,0.104758250351885,0.108575599847352,0.964841552790556,0.334624179687943,0.518478192826867,34.2307664640685,29.7936796905479
"PLEKHM2",164.870378332992,-0.278060919096846,0.187587773050926,-1.48229767097538,0.138261107751085,0.283910533578251,10.1204005198116,9.777492406186
"TMEM82",17.661964132975,-0.716633226744742,0.593122144670398,-1.20823886476702,0.226955396444593,0.400621742112899,1.38907458115061,1.24524667437275
"FBLIM1",850.962197859625,-0.297227653334013,0.116988995996601,-2.54064624456344,0.011064780865697,0.0429208121372521,52.933663503132,50.6400314244916
"UQCRHL",167.948833864121,0.380815789856222,0.157808658342437,2.41314889725423,0.0158153571690682,0.0564674129584187,7.63991019632833,6.68743584385363
"AL450998.1",28.1673525735815,0.00743515272873371,0.363788818819399,0.020438101294215,0.983693889753606,0.989584272326981,1.04180593586295,1.89093013515861
"SPEN",358.937849310629,0.498543764781915,0.120903923913145,4.12347050985757,3.73206260746619e-05,0.000383578447237034,15.230210586187,13.4671121821052
"ZBTB17",125.097186203491,-0.0678803089586037,0.222359028748797,-0.305273455009058,0.760157891436267,0.856823099254904,7.68952000279799,5.90339164147079
"HSPB7",89.1066319153907,-0.663251058292234,0.293773873140613,-2.25769245985593,0.0239648396538357,0.0776593594938579,7.29264155104068,5.62667015827685
"EPHA2",1015.49173053102,1.26341149506019,0.101438188955215,12.4549886790465,1.31370127155809e-35,1.18233114440228e-32,27.0869543324368,24.8126929930569
"ARHGEF19",91.27079936186,1.84432535531587,0.244259092193719,7.55069274495282,4.32949142900474e-14,3.19015157926665e-12,1.73634322643826,1.52196815756669
"MT1XP1",66.7038604722764,-0.480929381680457,0.254522891479371,-1.88953291739355,0.0588204563065132,0.152780405990943,4.01839432404282,4.84262595589401
"FBXO42",559.362191499971,-0.24711538461891,0.102885831967964,-2.40184075778144,0.0163128079312294,0.0578989802629549,33.6354487864325,32.8376160056813
"SZRD1",1498.82040624227,0.0586411439993032,0.0953723247446515,0.614865414640025,0.538643604783484,0.698672989527682,78.8795922867665,73.377313293594
"NECAP2",1070.4995401305,-0.15658912211938,0.0801489033495822,-1.95372756925184,0.0507334440805483,0.136677655637141,60.5239638929907,60.9709667970655
"CROCCP3",32.1222050569276,-0.185113144545037,0.319963137714317,-0.578545222013412,0.562896075375202,0.718954946753933,2.08361187172591,1.61420865196467
"NBPF1",626.804580912027,-0.0129152883303229,0.0931613077707824,-0.138633609159933,0.889739683478792,0.938194304346048,31.05573885001,35.0513878712328
"CROCCP2",69.599389244215,-0.367299918667342,0.254946687508877,-1.44069304157777,0.149671421616406,0.300919086064579,4.91137084049678,3.87410076471521
"EIF1AXP1",24.519706788785,0.199732742528604,0.382111513016724,0.522707994197135,0.60117747427004,0.746289278404187,1.43868438762027,0.876284696780821
"MFAP2",2119.59070367905,-0.0130715850937224,0.090222660947447,-0.144881396275114,0.884804515067083,0.935044610403862,113.85450584788,109.6739478392
"ATP13A2",401.82694398299,0.218312765463374,0.139001735393767,1.57057582658903,0.116281208611902,0.250750222239089,18.2067989743669,19.324383576377
"SDHB",2147.67816853585,0.104725695046222,0.0725324013129033,1.44384706904212,0.148781998459653,0.299771894374081,107.454840813293,105.430885096892
"PADI2",453.733887027958,-0.14721578002106,0.298541321734277,-0.493116929897204,0.62192996914808,0.761843049899456,26.8389053000885,24.397610768266
"PADI1",36.5820578095041,-0.121151029024054,0.410105551655107,-0.295414262340785,0.7676774394501,0.861099949886163,2.33166090407423,1.75256939356164
"RCC2",401.540193990152,0.114988021602407,0.107633744669114,1.06832687049866,0.285373091723097,0.467840751109486,19.5958735555175,19.9700670371629
"ARHGEF10L",63.8266727284273,-0.264627431568023,0.267463617941454,-0.989395991891306,0.322469434796873,0.505638117139557,4.06800413051249,3.59737928152126
"ALDH4A1",303.491918793953,-0.712010634441391,0.142590092898026,-4.99340886852911,5.93227840716472e-07,9.95295711455066e-06,21.8283148466524,23.1062438466943
"UBR4",875.299653787429,-0.089432902857664,0.0868416659537519,-1.02983863650534,0.303085760337947,0.48627091334405,50.5523927925881,45.4284434910057
"EMC1",1717.39429551907,0.322359410040915,0.100964703675868,3.19279310793406,0.00140903861874707,0.00808464781248318,72.5791468651191,78.9117429574728
"MRTO4",732.014150365976,0.206339807135275,0.0928751211821088,2.22169085228632,0.0263042051856574,0.0833793673809518,35.5206214322798,33.2526982304722
"AKR7A2",42.815678947871,-0.413940336953337,0.392445643349829,-1.05477113574261,0.291530008708224,0.474399859191995,2.53010012995289,2.99781606793439
"PQLC2",144.931783433048,-0.705946182026341,0.191765417929241,-3.68130077700885,0.000232047067768201,0.0018052382496485,11.7575241333105,9.63913166458903
"CAPZB",1114.27564386128,-0.0535524174922936,0.0898334757249749,-0.596129862059933,0.551088476342374,0.709481202465573,62.0122580870806,57.9731507291311
"MINOS1",36.6679977146537,-0.116556962806259,0.292401569358373,-0.398619484368788,0.690173602621462,0.809022922414217,2.28205109760457,1.79868964076063
"AL031727.1",53.9204566540525,0.0312127198892612,0.248987473186809,0.125358595313119,0.9002396656298,0.94333639806983,3.02619819464953,2.53661359594448
"TMCO4",975.728920567399,-0.502417616500493,0.12341632640089,-4.0709169617357,4.68284412084079e-05,0.000464597133248771,65.7329935723054,65.4446307753676
"OTUD3",453.52905685213,0.429035680787001,0.160723066325888,2.66940950415339,0.00759847460488278,0.0315887010485371,17.4130420708522,20.2929087675558
"PLA2G2F",90.3653321627394,0.568233841407811,0.267414210863993,2.12492013633792,0.0335932774437323,0.100017792011112,3.12541780758886,3.82798051751622
"Z98257.1",50.5533167580138,1.92519917641798,0.359780274772404,5.35104148674035,8.74494689515401e-08,1.77804193329211e-06,0.694537290575303,1.01464543837779
"UBXN10",16.2453714269017,1.03723151951894,0.497445901182279,2.0851142145382,0.0370589342799031,0.107739402844204,0.347268645287651,0.599563213586877
"CAMK2N1",51.2208465668285,0.537993357880749,0.259868917540533,2.07024896618056,0.0384290359565878,0.110802254703205,1.83556283937759,2.16765161835256
"MUL1",803.994587726221,-0.124493466553864,0.0848047678462992,-1.46800079424187,0.142104007164681,0.289773505466092,44.8968748550463,44.9211207718168
"CDA",69.4934497269323,-1.4933196195598,0.223876814123853,-6.67027367440413,2.55326844614473e-11,1.14082207168169e-09,6.64771406693504,7.42535979903748
"PINK1",18.6006421893149,0.131350178329323,0.43279631407211,0.303491906142801,0.761515014757775,0.857639114272654,0.793756903514632,1.01464543837779
