"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hTSC_wt_1","hTSC_wt_2"
"NDUFA5",2763.29362563858,0.322908014812432,0.113657155411017,2.84107070641265,0.00449623423014065,0.0874818981286166,104.980630436887,98.7142348414285
"WASL",736.338540016087,0.21681146210778,0.12857962128107,1.68620392522263,0.0917565281326091,0.507015894074893,29.3381744505165,28.1556065011635
"AC006333.2",150.397019330998,0.0983869002336855,0.219809705781622,0.447600345416192,0.654441653823298,0.922134802632965,4.54855417837465,7.87753916833088
"HYAL4",227.862196085361,-0.139478291038215,0.20488980953827,-0.68074781929144,0.496031072756621,0.865542822722116,11.9626974891253,9.49827689195876
"GPR37",303.456974070288,-0.262608284368975,0.144163271956039,-1.82160324752517,0.0685152078280592,0.449592727391753,14.8737721632851,15.453545736917
"POT1",362.95903039572,-0.184073359912122,0.141736792180677,-1.2986985036142,0.194047417828463,0.667145749696033,17.4209625031749,17.4888907851939
"ZNF800",133.468702368105,-0.245563251379896,0.194634446289661,-1.2616638835576,0.207069758046601,0.67954242704788,7.50511439431816,5.76681097011782
"GCC1",306.616675796659,0.00995156283912282,0.171322136718813,0.0580868475593209,0.953679450831006,0.991597289994636,12.3265818233953,14.3604900628424
"ARF5",1683.48167921942,-0.119833006358848,0.126079396256235,-0.950456695678552,0.341880247611245,0.789028891131082,76.4611957384778,80.2830546820324
"PAX4",30.4124966594939,0.684078310829366,0.499248641520902,1.37021566797939,0.170619588804113,0.639472587891077,1.04616746102617,0.791523074329897
"SND1",12066.6750130123,0.035700565614607,0.107565747735646,0.331895295353172,0.739968322996828,0.949298598867497,535.592254503614,501.825629125154
"SND1-IT1",52.5124768345395,0.0932294205153433,0.282203141952867,0.330362801314644,0.741125845370033,0.949360410339296,2.27427708918732,2.11072819821306
"LEP",867.805806531435,0.183565232115084,0.535482891397588,0.342803168997587,0.731746541744768,0.94704209151304,35.4787225913222,33.5078101466323
"RBM28",1837.00746659215,-0.0772964675451635,0.103520314749384,-0.74667921685027,0.455257217978376,0.850843614657467,89.1061763543593,78.4361675085959
"IMPDH1",767.265343913991,-0.201181993886905,0.181610648456347,-1.10776540691259,0.267963143524299,0.738134456266661,31.8853647904063,42.4407134140697
"HILPDA",2078.45181695339,0.0138383155316901,0.101859587965505,0.135856779004216,0.891934503955624,0.98010179843391,90.6071992332229,90.0451725987677
"METTL2B",1113.46577284863,0.140275103845542,0.0940296068902041,1.49181846531952,0.135746741816586,0.588549094532259,46.8046224954751,43.7976101129209
"AC090114.1",98.9613713493154,-0.188700419992621,0.214376351684568,-0.880229645246849,0.378734916876731,0.810493311807656,4.23015538588842,5.27682049553264
"AC018638.5",42.5929264740173,-0.0763367295497657,0.337158964486842,-0.226411685852549,0.820881239903404,0.967857830632835,1.72845058778237,2.14841977318115
"CALU",13525.2936726277,-0.0345623599210084,0.0850624378815159,-0.406317533117856,0.684509304352878,0.934056577484942,643.483959614661,562.999055298365
"OPN1SW",114.982968333538,-0.0403366771296407,0.203335723918994,-0.198374768349659,0.842751857088553,0.973108110725527,5.50375055583332,4.78683002094747
"CCDC136",27.4214303426786,-0.13248489705762,0.468527624010849,-0.282768593073504,0.777354231248262,0.958811259950826,1.45553733707989,1.13074724904271
"FLNC",334.443963568766,0.0665603188687419,0.180959758316529,0.367818345293747,0.713008688952965,0.942073315285084,13.6001769933402,14.6620226625871
"ATP6V1F",2897.31522602266,0.00850141789886183,0.108780385870242,0.0781521211829743,0.937707047231213,0.98986109532303,124.721355571033,127.774439141826
"TNPO3",3193.95685088405,-0.0675716546268236,0.0953189940322546,-0.708900207276194,0.478386406474543,0.858804067469998,154.696327606522,135.161987835572
"TPI1P2",33.5476313401561,-0.312622086358094,0.388300857378079,-0.805102745507723,0.420760391609374,0.832766272109907,2.41073371453856,1.05536409910653
"TSPAN33",16.4159615311174,0.168471005738446,0.751269827932794,0.224248331923583,0.822564077506649,0.968641944915128,0.363884334269972,0.942289374202258
"SMO",43.1842186545685,0.343792990198793,0.36371425030563,0.945228266172971,0.344542351629815,0.790414733566025,2.04684938026859,1.13074724904271
"AHCYL2",100.275659027268,0.0509658632545522,0.27967451845595,0.182232773782641,0.855400053836449,0.975484461687125,3.86627105161845,4.6737552960432
"STRIP2",447.637673982456,-0.0918773216963581,0.174520633593724,-0.526455352610307,0.598571865278495,0.903728693529286,22.1969443904683,18.9588622089494
"AC078846.1",32.3241231239061,-0.011756565113759,0.364308994644491,-0.0322708615120294,0.974256046242002,0.994756895408053,1.50102287886363,1.35689669885125
"NRF1",386.624401504428,0.00957040818446738,0.144066299817462,0.0664305822846391,0.947035022829087,0.990699474583766,14.8282866215013,18.770404334109
"UBE2H",1345.56856864575,-0.107206568170766,0.106222209730134,-1.00926697385729,0.312846614481953,0.770812623463264,68.0918560502684,56.5750540271036
"ZC3HC1",1484.53497178326,0.0324418295723904,0.10684486246712,0.303634904133774,0.761406056608474,0.953691996289169,65.0898102925412,62.7187807469023
"KLHDC10",209.4498638429,-0.19887829990604,0.154534100182871,-1.28695413938214,0.198110273293128,0.6708339905768,9.68842039993799,10.5913325660334
"TMEM209",1661.55955898083,0.171285258023065,0.113235508952973,1.51264616202855,0.130369561820482,0.582375332970593,72.3674969779406,60.7211272735935
"CPA4",31.908058288166,0.981949948421735,0.465626281553442,2.10887999093546,0.0349549417338005,0.320116745641875,0.454855417837465,1.13074724904271
"CEP41",568.355107464026,0.218383395903118,0.109119065360675,2.00133125390405,0.0453567037686703,0.363140367931808,23.3340829350619,21.0318988321944
"MEST",3059.49960484174,0.00651098302670483,0.143672030453554,0.0453183755122726,0.963853540944165,0.993248595670133,131.453215755027,135.463520435317
"COPG2",550.661238650696,0.1506795325611,0.121207021105228,1.24315845061719,0.213809450238843,0.685909252221567,23.2431118514944,21.3334314319391
"AC016831.1",25.5507246535275,0.232904433391463,0.394901568927104,0.589778445358509,0.555339195294722,0.888383033700413,0.955196377458675,1.01767252413844
"AC058791.1",28.0892809652531,0.0648258399591119,0.413646369882297,0.156718019736419,0.875467084872937,0.977881010212066,1.36456625351239,1.01767252413844
"LINC-PINT",28.2129581611166,0.309034630579901,0.400883402463748,0.770884074223671,0.440775647654849,0.841664716706922,0.955196377458675,1.13074724904271
"MKLN1",945.539866180596,-0.0891386548461011,0.119714404173116,-0.744594232095911,0.456517055860434,0.851256740087232,47.5778767057988,39.236929541782
"PODXL",571.825412798295,-0.960203593234907,0.374542151320405,-2.56367298006331,0.0103571077116972,0.151391495232005,43.4386924034779,35.4300804700049
"EEF1B2P6",119.613753255789,-0.0116274061557573,0.216733480375298,-0.0536484078769151,0.957215288108755,0.992199130019608,4.82146742907712,5.69142782018164
"NDUFB9P2",21.0104965191181,-0.560213565512604,0.458085712772173,-1.22294485484472,0.221350525306263,0.694325065249411,1.13713854459366,1.28151354891507
"CHCHD3",2489.0331490461,0.0787904167140161,0.0840918013464707,0.936957175996122,0.348780586549332,0.792998717440112,103.979948517644,105.121802586004
"AC008038.1",924.853832884063,-0.104172358339663,0.112679972597104,-0.924497547688798,0.355227327687353,0.796984049786507,38.935623766887,46.3606372107511
"AC083873.1",79.1242351557624,-0.24401101380372,0.267764614356453,-0.911289247050726,0.36214299059961,0.799230956358092,3.45690117556473,4.37222269629848
"EXOC4",726.698547060562,-0.158087843686489,0.105591253840796,-1.49716797496168,0.134349556078105,0.58567848647009,35.8426069255922,33.2062775468876
"SLC35B4",1940.51091951679,-0.295524959031127,0.0896078513695701,-3.29798064024872,0.000973828484601187,0.0291468924542868,104.116405142996,93.3620311959597
"AC009275.1",104.275016441665,-0.0104345921399487,0.323099266062387,-0.0322953136573633,0.974236546416747,0.994756895408053,4.45758309480715,4.71144687101129
"AKR1B1",74630.4553508363,-0.319052864635644,0.0930740506027936,-3.42794648529101,0.000608165331294624,0.0206642712933303,3769.61427532799,3905.86483921829
"BPGM",834.979593953626,0.0949435714671423,0.118246580553575,0.802928685317248,0.42201595503585,0.833560792514452,35.4332370495385,34.1485669210898
"CALD1",3006.8658380075,-0.120436191077179,0.0896619072640407,-1.34322584419839,0.179198855605399,0.649065274333174,134.910116930592,145.037180477212
"AGBL3",25.7494952001135,-0.0542099358111825,0.41522164268006,-0.13055662383416,0.896126058099219,0.980217527684148,1.22810962816115,1.09305567407462
"C7orf49",755.196142733893,0.00664831488193228,0.103601817969591,0.0641717974860604,0.948833433441809,0.991119268672731,34.0686707960261,31.8493808480363
"TMEM140",72.1269516756193,0.0396375031604429,0.298740135576616,0.132682215879484,0.894444708170673,0.980175195559954,2.5471903398898,3.61839119693667
"WDR91",528.965554542134,-0.0987763248997461,0.133829625964293,-0.738075177211516,0.460468767006546,0.853939083222603,24.1528226871694,24.5749068791949
"CNOT4",550.296762470695,0.154501174595255,0.154295701546213,1.00133168355944,0.316666480097681,0.773943988463296,25.9267588167355,18.6196380342366
"SDHDP2",27.7715196182353,-0.0523079521231386,0.383766623908412,-0.136301462567058,0.891582967714478,0.98010179843391,1.13713854459366,1.35689669885125
