"","hTSC_a6_1","hTSC_a6_2","hTSC_b5_1","hTSC_b5_2","hTSC_d4_1","hTSC_d4_2","hTSC_wt_1","hTSC_wt_2"
"OXCT1",0.846904627105775,0.908121372869463,1.66253918223854,3.07697343935159,9.25341520107504,5.18229542411497,8.46031077177684,6.44525931954344
"C5orf51",30.1592147763779,29.9285217667414,24.3377263622142,35.0433086148376,33.9989734989725,30.1845979088802,38.7991671415357,29.3994284751104
"FBXO4",6.06948316092472,6.87013560344724,6.97342823661165,7.4787548873129,6.99239972207933,7.72798440438197,8.09642643750687,9.04597799234167
"GHR",0.799854370044343,1.22398967647623,0.230908219755353,1.0256578131172,0.502447884221269,0.0909174635809643,0.0454855417837465,0
"SERBP1P6",0.0941005141228639,0.157934151803385,0.0461816439510706,0.0854714844264331,0.0837413140368782,0.500046049695304,0.318398792486225,0.301532599744723
"AC025171.1",1.92906053951871,1.85572628368977,1.43163096248319,1.83763691516831,2.51223942110635,1.81834927161929,2.27427708918732,2.78917654763868
"ANXA2R",0.188201028245728,0.394835379508462,0.646543015314988,0.641036133198248,0.293094599129074,0.318211122533375,1.13713854459366,0.904597799234167
"AC025171.2",0.188201028245728,0.118450613852539,0.184726575804282,0.256414453279299,0.293094599129074,0.272752390742893,0.0909710835674929,0.452298899617084
"AC025171.4",1.83496002539585,1.42140736623046,1.84726575804282,2.09405136844761,1.96792087986664,1.13646829476205,1.68296504599862,1.65842929859597
"ZNF131",27.1479983244462,24.7956618331314,24.5224529380185,24.7439947414524,23.4056972733074,22.2747785773363,28.1555503641391,25.894112003078
"NIM1K",0.564603084737184,0.750187221066078,1.06217781087462,0.897450586477548,0.711801169313464,1.45467941729543,2.13782046383608,1.28151354891507
"AC106800.2",0.329351799430024,0.236901227705077,0.0923632879021411,0.512828906558599,0.334965256147513,0.318211122533375,0.454855417837465,0.565373624521355
"AC114947.2",0.799854370044343,0.710703683115232,1.01599616692355,1.41027949303615,1.04676642546098,1.59105561266688,1.18262408637741,1.46997142375552
"HMGCS1",336.879840559853,329.766508965468,298.194874992063,333.937089654074,368.964229646485,313.756166817908,415.419453110956,342.126425985356
"CCL28",1.27035694065866,0.63173660721354,0.738906303217129,0.726507617624682,1.08863708247942,1.40922068550495,0.955196377458675,1.46997142375552
"TMEM267",23.3369275024703,17.2937896224706,22.3980973162692,24.7867304836656,19.5117261705926,14.2740417822114,18.1942167134986,17.0365918855768
"AC114956.3",0.188201028245728,0.0789670759016925,0.277089863706423,0.0427357422132166,0.0418706570184391,0.0454587317904822,0.272913250702479,0.263841024776632
"C5orf34",7.62214164395198,6.8306520654964,8.26651426724163,6.9659259807543,6.3224692097843,5.81871766918172,6.91380235112946,6.97294136909671
"EEF1A1P19",22.8664249318559,25.1904972126399,27.5704414387891,27.1799320476057,25.9179366944138,28.1389549783085,30.4753129951101,35.9200709445901
"PAIP1",29.4534609204564,25.3089478264924,24.845724445676,29.2739834160533,27.3415390330407,26.2296882431082,26.3816142345729,23.7080006549288
"NNT-AS1",12.9388206918938,12.1609296888606,13.069405238153,12.1369507885535,11.7656546221814,11.4556004112015,13.7366336186914,11.3828556403633
"AC010435.1",0.564603084737184,0.355351841557616,0.646543015314988,0.598300390985032,0.628059855276586,0.500046049695304,0.500340959621211,0.376915749680903
"AMD1P3",0.329351799430024,0.0394835379508462,0.230908219755353,0.0427357422132166,0,0.227293658952411,0.0454855417837465,0.226149449808542
"NNT",3.43466876548453,4.34318917459309,4.11016631164528,5.4274392610785,4.22893635886235,4.45495571546725,5.27632284691459,5.0506710457241
"RPL29P12",1.55265848302725,1.69779213188639,1.01599616692355,1.15386503975685,1.13050773949786,1.22738575834302,1.54650842064738,1.20613039897889
"AC093297.2",0.047050257061432,0.157934151803385,0.138544931853212,0.299150195492516,0.0418706570184391,0.0454587317904822,0.136456625351239,0.376915749680903
"MRPS30",73.6807025582025,79.8357137366111,67.5637451004162,64.8301209374495,63.224692097843,69.7336945665996,64.407527165785,68.6740495918606
"AC093297.3",2.63481439544019,2.48746289090331,2.58617206125995,2.47867304836656,2.63785139216166,1.50013814908591,2.31976263097107,2.3368776480216
"EMB",28.4183552651049,31.2709620570702,39.7623954418717,42.2656490488712,21.0609404802749,17.3197768121737,16.6477082928512,14.0212658881296
"PARP8",16.7969417709312,15.39857980083,13.1617685260551,19.1883482537342,17.4600639766891,15.4105100769735,19.6042685087947,18.8457874840452
"AC022126.1",0.0941005141228639,0.118450613852539,0.0923632879021411,0.0427357422132166,0.0837413140368782,0,0,0.188457874840452
"ITGA1",37.1226528214698,42.2473856074055,32.8813304931622,36.2399093968077,36.5949542341158,30.0027629817182,23.8799094364669,20.051917883024
"PELO",116.072984170553,118.687515080244,107.233777254386,103.249553187131,111.459688983085,111.919397668167,113.895796626501,118.163087524963
"ITGA2",31.7118732594051,35.7326018455158,51.8158045131012,54.4025998374247,62.3872789574742,64.2331880199513,42.0286406081817,43.8729932628571
"MOCS2",59.5185751827114,50.6178956529849,63.9153952282816,52.5649629222564,50.6634949923113,48.2317144297016,63.9981572897313,67.9579096674668
"AC008966.1",0.846904627105775,0.592253069262693,0.83126959111927,1.23933652418328,0.418706570184391,0.454587317904822,0.363884334269972,0.904597799234167
"FST",2.54071388131733,3.55351841557616,3.50980494028136,4.40178144796131,3.01468730532761,3.0457350299623,1.50102287886363,1.77150402350024
"NDUFS4",92.6419561539595,80.8622857233331,97.9512668202206,86.8390281772561,85.9604588588554,86.8716364516114,80.191010164745,84.7683521032351
"AC025175.1",0,0.0394835379508462,0.507998083461776,0.299150195492516,0.544318541239708,0.318211122533375,0.409369876053718,0.188457874840452
"ARL15",15.0090320025968,12.1609296888606,15.3323057917554,16.3250535254487,15.0315658696196,13.8194544643066,18.2397022552823,18.1673391346195
"SNX18",20.1375100222929,18.5967463748486,22.7675504678778,23.290979506203,22.7776374180309,21.5474388686885,25.835787733168,25.5925794033333
"GPX8",43.6155882959474,37.0750421358446,49.2758140957923,49.0178963185594,44.8853443237667,42.3220792969389,44.9852008241252,48.1321412342513
"MCIDAS",0.23525128530716,0,0.138544931853212,0.683771875411465,0.334965256147513,0.136376195371446,0.181942167134986,0.113074724904271
"CCNO",1.1762564265358,0.513285993361001,1.2469043866789,1.32480800860971,0.753671826331903,1.13646829476205,0.454855417837465,1.46997142375552
"DHX29",56.3662079595955,61.0020661340574,69.8266456540187,63.548048671053,60.7961939907736,64.0513530927894,56.4020718118456,47.152160285081
"SKIV2L2",98.0056854589628,103.762737734824,86.0364026808444,110.172743425672,118.661441990256,111.192057959519,115.305848421797,102.709541788046
