"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hTSC_wt_1","hTSC_wt_2"
"TEAD1",1153.12316483158,-1.42022005347777,0.132197512784859,-10.7431677310682,6.38164241679395e-27,2.96342201694522e-23,101.97858467916,88.6505843249484
"LINC00958",111.852444087707,1.9794289509765,0.634124258969843,3.1215158905798,0.00179922537550892,0.0454076244677804,1.81942167134986,1.24382197394698
"USH1C",67.5526603450587,1.53576555216081,0.303707030293991,5.05673362475071,4.26498305704507e-07,5.50143323774952e-05,1.2735951699449,1.1684388240108
"MRGPRX1",2705.65141522195,0.911205745776773,0.161777609387475,5.63245896157568,1.77658129221456e-08,3.43399277977573e-06,70.0022488051858,72.63166496351
"ANO5",41.2668341283287,1.75756431732911,0.439909046373377,3.99529023514865,6.46150460730256e-05,0.00346212387247431,0.864225293891183,0.452298899617084
"MUC15",5474.72493017148,0.531268399590573,0.10572717862219,5.02489905163393,5.03697414422975e-07,6.32162944173555e-05,190.12956465606,169.461321056534
"SERPING1",498.669097602975,-0.641327338569686,0.135958871643372,-4.71706870480602,2.39266909215573e-06,0.00024330126367023,29.5201166176514,30.1909515494403
"FOSL1",949.315353475877,0.784140480497673,0.0980237921450281,7.99949138202613,1.24934193645861e-15,1.08778640730031e-12,27.5187527791666,26.4217940526313
"MYEOV",422.414139242094,0.637061868363726,0.123131682759661,5.17382572937947,2.2934875145152e-07,3.29387366646508e-05,13.1908071172865,12.928210214055
"AP000439.3",207.657150408814,3.92275734760557,1.0437255940636,3.75841827575852,0.000170990868444669,0.00751218619196578,0.500340959621211,1.05536409910653
"CCND1",2678.11952294022,0.566121003396899,0.122494662313599,4.62159732272717,3.80796615449091e-06,0.000349005108540874,74.9146873178304,97.1688802677368
"P2RY2",131.962792043364,-0.815880769451348,0.23520760285707,-3.46876869429743,0.000522849398841061,0.0181641271203362,8.23288306285811,8.85752011750122
"PRCP",998.139005417156,-0.525439939025752,0.110321857278902,-4.76279091003154,1.90933652306668e-06,0.000199992233855954,51.8080320916872,61.3995756230191
"PRSS23",408.938033691048,0.546108115709717,0.155355864389646,3.51520760323556,0.000439410341150318,0.0159104490941539,13.1908071172865,13.4182006886401
"TAGLN",2058.65156935871,0.967971453036371,0.201029721496661,4.81506637839346,1.47150967867389e-06,0.000163996810668848,49.7611827114186,55.1427741783161
"BACE1",10.9168160691144,-2.06972576082475,0.642807710599021,-3.21982099265114,0.00128270666143632,0.0354551319453756,1.13713854459366,1.09305567407462
"MPZL3",108.841952484862,2.16455315800213,0.330442143180756,6.55047548465418,5.73541720054309e-11,2.42121506123533e-08,1.72845058778237,0.942289374202258
"MPZL2",26.5962527628469,2.6653405469952,0.590945981805402,4.51029472922771,6.47376183796882e-06,0.000546581673725719,0.409369876053718,0.0753831499361806
