"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Day18Rep1","Day18Rep2","Day0_Rep_1","Day0Rep1","Day0Rep2"
"CCDC13",1602.64141065442,-0.58277745938198,0.31429208358261,-1.85425433799958,0.0637027814564942,0.156990830767735,37.3801997082146,63.5154026979038,86.3951570700839,90.9084282177316,90.2538511528337
"CCDC130",1002.78897344413,1.27640169558926,0.187571181494667,6.80489233696887,1.01124834049339e-11,3.03578319642999e-10,61.2175730515546,65.6042161849237,27.9752769818108,32.0272320829153,32.5916684718566
"CCDC134",1320.58174317681,-0.168293333878924,0.20018966770293,-0.840669430195876,0.400533150835932,0.574228002342378,45.3759643516829,55.3148756747883,68.6722720994842,68.9455539406076,62.3374947902455
"CCDC136",690.666805674417,-0.192070784476604,0.33897417071754,-0.566623657696481,0.57096989824877,0.718088473615935,19.5896233764975,32.4152907800508,32.695128182094,33.2500045266095,39.2997249764591
"CCDC137",1581.02238456791,-0.0968117576839398,0.497732138407015,-0.194505739560609,0.845779902030712,0.910258358717017,32.1829526899601,91.6757030414324,79.8311255994914,83.8539718118031,71.2815701297155
"CCDC138",642.221083472501,0.903862311677824,0.342640327756569,2.63793324503232,0.00834130000404779,0.0314351261232548,46.7752231642899,26.4969859001608,23.3179403669619,21.5396068927683,24.0541420114534
"CCDC14",807.395349076047,0.59121567823039,0.330436235218449,1.78919747660102,0.073583017929915,0.175071128107841,30.6337732902881,52.065610250535,32.695128182094,31.8391132454238,32.6594266183678
"CCDC140",653.643559250378,-0.169332370163182,0.511522566055914,-0.33103597260394,0.740617313747425,0.840251540756513,37.2802526501712,12.8423347720488,34.0391917689296,32.2623806297795,32.6594266183678
"CCDC141",580.957066013111,0.248334555745637,0.269773461961926,0.920529965918907,0.357295881076265,0.530627407982798,30.9835879934399,21.7391329575042,25.8185237843304,24.4554488738854,27.9163563625882
"CCDC142",551.248307529681,-0.710740299854611,0.520901001140363,-1.36444410415539,0.172427834987589,0.322956100683371,24.4870292206218,8.39393567932102,29.9757437157057,33.8613907484567,30.6266822230337
"CCDC144A",533.026010619351,-1.17233721111816,0.275167709351585,-4.26044616165427,2.040192246584e-05,0.000178107495358909,14.6422440033514,10.3667039726177,34.445536574252,29.9108951611367,34.8276873067241
"CCDC144NL",347.279864632666,-1.4711533275319,0.550607052804177,-2.67187519672966,0.00754286961575089,0.0289557066553895,3.49814703151741,10.2119770476532,22.6927945126197,21.3514880552768,23.5120768393643
"CCDC146",1156.43577013251,1.12347723077048,0.341935045851705,3.28564516682423,0.00101749097197644,0.00537856338803708,91.501531638691,49.3192073324161,39.6342471652918,37.6237674982852,36.4538828229914
"CCDC148",960.682454354491,0.2553526788935,0.586972817694056,0.435033226745767,0.663538309784908,0.785237027223482,18.8400204411723,67.9251200593904,40.1031065560484,40.304460932538,48.650349194996
"CCDC149",1392.05224148222,0.344900453552413,0.265011676569668,1.30145380013753,0.193103168536165,0.349706009386997,53.0219142919995,77.556871138427,62.2020125070431,62.7376323033905,56.9168430693546
"CCDC15",2076.59643368772,0.781452561056314,0.218583833018414,3.57507026144281,0.000350133853413337,0.00216187557514109,132.329904849401,95.3504675093379,78.0807172073334,78.0693175589417,77.2442870226955
"CCDC150",678.257121875157,0.245660048645189,0.50078605948194,0.490548896068159,0.623745538645058,0.758284403503714,16.4912645771535,44.6000361210006,30.6946614481991,31.9802023735424,28.7294541207218
"CCDC151",1184.88640734068,-0.444930323614155,0.159253504493864,-2.79384949818356,0.00520847127818451,0.0214122355327997,42.6773937845123,37.2505071851896,65.0151688515827,62.9727808502548,63.8281740134905
"CCDC152",780.489398353971,0.531018980397467,0.384999298869923,1.37927259077134,0.167810724068654,0.316883074911385,26.8857586136623,51.369339088195,33.2577594510019,34.3316878421852,28.322905241655
"CCDC153",1710.83480669837,0.73243297283738,0.235967872658635,3.10395209561838,0.00190954246288236,0.00922286622818438,108.44255797704,76.164328813747,62.0457260434575,66.2648605063548,67.4871139250919
"CCDC154",1597.48561654844,0.353454965672192,0.346661291637869,1.01959744049364,0.307919419385552,0.479434200511615,99.3473756950943,51.7561564006061,72.110574298366,69.4158510343362,66.538499873936
"CCDC155",559.722132044332,-0.872199640977431,0.421102124629601,-2.07123068244933,0.0383372435659084,0.107001225862358,21.1388027761695,9.63175107903656,33.9141625980612,33.7203016203381,31.304263688145
"CCDC157",562.118116119416,-0.841478279340969,0.26522609451448,-3.17268284209128,0.00151037420840111,0.00757063831148609,18.3402851509555,12.9970616970132,35.2269688921797,32.450499467271,31.1009892486116
"CCDC158",1888.35031436087,0.189907439802573,0.333368038331726,0.569663008946289,0.568906283760839,0.716470398208853,109.34208149943,58.370732442836,85.8950403866102,85.4059522211074,87.408008999366
"CCDC159",1335.26918119302,0.314542122821143,0.538463763176978,0.584147243196683,0.559121252282302,0.70871071012976,29.2345144776812,94.1900155721046,61.4205801891154,59.6807011941549,55.0196149670428
"CCDC160",1533.87394298943,0.28128136941721,0.330951436899794,0.8499173535916,0.395371036764169,0.569102689924517,50.5732113699373,89.7416164793768,67.1719220490631,68.7574351031162,68.5034861227589
"CCDC166",1121.64780184038,-0.256827159188996,0.197361879784199,-1.30130073482183,0.193155535816867,0.349735425474284,37.7300144113663,44.4839909272773,53.9500872297268,58.4579287504606,61.3211225925785
"CCDC167",1012.29135738411,1.15977887772354,0.352322452166845,3.29181086981738,0.000995445314450166,0.00527932282215792,81.5567993633772,42.975403408874,31.9136958641663,33.7673313297109,32.3883940323232
"CCDC168",396.445582648251,-0.445378106802436,0.218998187997232,-2.03370681225941,0.0419811649095492,0.114281076359286,13.6927469519396,13.0357434282543,22.8803382689224,19.7524779365997,21.5470905905414
"CCDC169",1508.2569233188,0.341240823002169,0.253145326367027,1.34800364636168,0.177657209817293,0.329468111645651,84.6051846336995,57.2489622368438,65.8903730476617,69.1807024874719,62.1342203507121
"CCDC169-SOHLH2",769.259811352117,-0.481321832522573,0.575910828665665,-0.835757566215161,0.403291302899617,0.577161081750988,11.2940175588991,39.3780024034507,41.6659711919037,41.5272333762323,42.4165997159714
"CCDC17",644.712709324511,-0.0426157330974685,0.574324001839416,-0.0742015534105853,0.940850009817733,0.966301317567536,11.7937528491158,39.842183178344,30.5696322773307,30.5222813829839,33.3370080834791
"CCDC170",966.704036447824,0.252752430077858,0.347867223670804,0.726577305590147,0.467484934817054,0.633222161095671,31.2834291675699,56.1658737620927,43.1350639496077,41.3861442481137,45.4657163089725
"CCDC171",970.546914259307,-1.01653094020816,0.326228392440896,-3.11601002169767,0.00183316042381176,0.00892519117079888,31.6832173997434,17.7935963709109,59.2013124062008,58.5049584598335,58.3397641460885
"CCDC172",1020.06819046711,-0.171730967409723,0.156421261856281,-1.0978748372936,0.272259146961004,0.441217564648119,37.9798820564747,39.7261379846207,52.5747663501741,49.5693136789907,52.4448053996196
"CCDC173",776.545256329658,-0.167150013514778,0.355504169265657,-0.470177364895745,0.638228304382217,0.768581047189059,38.6795114627782,20.8107714077176,36.2897168445613,41.8564413418423,39.3674831229703
"CCDC174",538.637986307139,-1.85622527443202,0.545117557769181,-3.40518342874217,0.000661196253355456,0.00373475584997716,13.1430381327011,4.13894524279884,38.1026398221535,36.4950544733366,35.0987198927687
