"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Day_12_Rep_1","Day_12_Rep_2","Day0_Rep_1","Day0Rep1","Day0Rep2"
"FGA",1766.41670327724,0.132479760747954,0.129476789711399,1.02319312243722,0.306216544085052,0.500317701162297,76.0460648853644,68.7856023728436,66.8280918291749,67.0643655656933,71.010537543671
"FGB",1185.65308392884,0.969748793068488,0.284656464270651,3.4067337819051,0.000657452192811472,0.00423494571171275,46.0996998577621,84.1278173045833,35.9771439173902,35.5544602858795,31.7108125672118
"FGD1",1797.42693377532,0.109152290047098,0.131150661054796,0.832266411539424,0.405258585162131,0.598103739537565,68.9651509872122,76.9788271007883,71.7042294930436,68.4282271375062,69.7908909064705
"FGD2",1511.64495675427,-0.349537712828503,0.273669499938837,-1.27722567880828,0.201522583656269,0.377786857303455,35.4045694907613,65.2780453814685,69.6099908809974,67.8638706250319,61.7954296181564
"FGD3",2154.76866628211,0.126802336838538,0.234222449699645,0.541375675137642,0.588248669923463,0.745915800091701,65.3140547584774,110.71563480409,82.0191360896889,83.0074370430917,85.3752646040319
"FGD4",840.345142225758,0.0463697335821215,0.188828084885792,0.245565873371894,0.806018309493235,0.890048877104422,31.0527578241886,35.3968728442582,31.4760937661268,32.5915885953895,35.9118176509023
"FGD5",1602.11981787326,0.416803543231643,0.208221034625842,2.00173601087233,0.0453131312330131,0.129505263478204,59.8927300552046,86.4840387949726,56.638214403398,60.7153548003577,52.8513542786864
"FGD6",1994.15496283914,0.0158969703275389,0.171987070979579,0.0924311940251977,0.926355456256938,0.959748882461068,66.6786058742672,89.1080127274517,81.5815339916494,78.2574363964332,79.3447895645407
"FGF1",1535.88629813307,0.128886980238871,0.190223581525839,0.677555217944224,0.498053748134808,0.678234385338934,73.2800828938987,52.5865796264168,58.388622795556,61.0915924753406,58.8140711716664
"FGF10",593.027892042944,-0.198525487866589,0.386687217491282,-0.513400699290157,0.607671056531949,0.760081429168945,29.6513269485126,12.7717914876786,27.4751602983371,24.5495082926311,23.2410442533198
"FGF11",2583.52253111173,0.157636514913523,0.162179279193535,0.971989243616066,0.331055899761563,0.526984165330742,123.141518260054,90.9822798220796,97.6477824482425,99.7500135798286,100.011024250437
