name	length	AN_naive_hTSC	BT5_hTSC_1	BT5_hTSC_2	H9_naive_hTSC
AC003973.2	1394	4	0	0	0
AC003973.3	2822	554	456	195	296
AC003975.1	837	3	4	4	0
AC003982.1	498	2	0	1	3
AC003982.2	365	0	0	0	0
AC003984.1	4276	2	3	0	0
AC003985.1	362	0	0	0	0
AC003985.2	1669	0	0	0	0
AC003986.1	1526	0	0	0	0
AC003986.2	1711	18	26	26	12
AC003986.3	692	1	1	2	0
AC003988.1	578	0	0	2	3
AC003989.1	565	3	0	0	0
AC003989.2	169	7	1	0	6
AC003991.1	4838	5	7	0	1
AC003991.2	576	4	7	0	4
AC003992.1	557	0	0	0	0
AC004000.1	433	8	6	4	7
AC004004.1	250	0	0	0	0
AC004006.1	377	0	0	0	0
AC004009.1	567	0	2	4	0
AC004009.2	728	0	5	1	0
AC004009.3	645	4	0	0	0
AC004012.1	534	1	2	0	0
AC004014.1	538	0	0	0	0
AC004014.2	5122	0	0	0	0
AC004022.1	1066	1	0	0	0
AC004022.2	193	0	0	0	0
AC004023.1	1744	0	0	4	0
AC004024.1	247	11	5	5	13
AC004034.1	510	11	6	8	23
AC004039.1	1789	5	11	2	6
AC004052.1	995	0	0	0	0
AC004053.1	575	1	0	0	0
AC004054.1	270	0	0	0	0
AC004057.1	498	2	3	3	0
AC004062.1	645	0	0	0	0
AC004063.1	547	0	0	0	0
AC004066.1	802	0	0	0	0
AC004066.2	572	0	0	0	0
AC004067.1	700	10	18	11	22
AC004069.1	549	28	41	23	37
AC004069.2	1114	0	0	0	0
AC004074.1	1063	0	0	0	0
AC004076.1	1028	3	3	4	4
AC004076.2	3323	108	46	11	63
AC004080.1	757	0	0	1	0
AC004080.2	556	0	0	0	0
AC004080.3	765	0	0	0	0
AC004080.4	633	0	0	0	0
AC004080.5	368	0	0	0	0
AC004080.6	919	0	0	0	0
AC004112.1	707	7	2	3	16
AC004129.1	796	2	0	0	1
AC004129.2	287	0	0	0	0
AC004130.1	896	22	1	12	21
AC004134.1	225	2	3	1	3
AC004147.1	299	0	0	0	0
AC004147.2	3753	0	0	0	0
AC004147.3	375	0	0	0	0
AC004147.4	1844	0	0	0	0
AC004147.5	536	0	0	0	0
AC004148.1	398	2	1	1	0
AC004148.2	1938	246	146	99	161
AC004149.1	549	20	7	10	8
AC004156.1	3319	32	1	4	24
AC004158.1	5253	5	0	7	1
AC004160.1	5660	29	0	2	68
AC004160.2	563	3	0	0	10
AC004217.1	794	40	20	5	34
AC004217.2	751	0	3	2	1
AC004217.3	878	0	1	0	0
AC004221.1	844	1	3	1	0
AC004223.1	271	1	1	2	2
AC004223.2	544	0	1	0	0
AC004223.3	2002	0	0	0	0
AC004223.4	332	5	3	0	9
AC004224.1	568	1	1	3	4
AC004224.2	529	0	0	0	0
AC004231.1	815	31	2	2	48
AC004231.3	258	0	0	0	0
AC004232.1	208	0	0	0	0
AC004232.2	821	0	0	0	0
AC004232.3	525	0	3	3	2
AC004233.1	608	2	1	1	0
AC004233.2	2062	0	8	1	4
AC004233.3	1269	104	56	42	71
AC004233.4	417	32	42	19	11
AC004241.1	4411	22	20	37	3
AC004241.2	444	1	5	1	0
AC004241.3	517	51	102	127	53
AC004241.4	1120	0	0	2	0
AC004241.5	2448	22	16	20	4
AC004253.1	488	155	111	85	117
AC004253.2	397	0	0	0	0
AC004257.1	277	0	0	1	4
AC004263.1	332	0	1	0	1
AC004263.2	678	5	1	0	1
AC004264.1	794	0	2	1	5
AC004264.2	1737	1	3	2	0
AC004381.1	351	0	1	0	0
AC004381.2	1329	3	0	1	0
AC004383.1	289	1	1	2	0
AC004386.1	761	3	10	4	7
AC004386.2	148	0	0	0	0
AC004408.1	573	0	0	0	0
AC004408.2	2777	7	2	3	5
AC004415.1	449	0	0	0	0
AC004448.1	883	17	11	15	14
AC004448.2	586	8	2	1	3
AC004448.3	543	0	0	0	0
AC004448.4	4193	1	0	3	6
AC004448.5	567	0	0	0	0
AC004449.1	433	4	0	2	0
AC004453.1	408	312	223	217	221
AC004453.2	2153	5	2	4	0
AC004461.1	403	1	4	1	0
AC004461.2	803	1	0	0	0
AC004466.1	1080	0	1	1	0
AC004466.2	516	0	0	0	0
AC004466.3	546	0	0	0	0
AC004467.1	330	0	0	0	0
AC004470.1	382	0	0	0	0
AC004471.1	582	7	1	5	5
AC004471.2	1514	0	0	1	1
