"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AN_naive_TSC","H9_naive_TSC","AN_STB","H9_STB"
"LRP2",4519.40545227009,8.79100728940244,0.373882345407308,23.5127638343702,3.01987158912392e-122,5.71014576480632e-119,579.928693707239,433.542834433471,0.982130584164315,0.443009378459319
"LRP4",89.3545507841996,2.21742558041985,0.584492069096077,3.79376504432151,0.000148380086252565,0.000518605445376011,11.2194070518805,5.35238067201816,0.941208476490802,1.32902813537796
"LRPPRC",2059.70956479177,1.28467156240069,0.186274177525995,6.8966701636431,5.32355893563352e-12,6.26334453973735e-11,162.845189216528,164.537916551415,42.5180698727801,43.2180260319202
"LRRC15",67.548003088445,-1.71393189048009,0.555107560960947,-3.08756718700265,0.0020180214804263,0.00535603214656558,2.00639031219761,1.52925162057662,2.78270332179889,4.62698684168622
"LRRC37B",64.3653271061891,-1.87035204151933,0.501694922915158,-3.72806651231674,0.000192954459192154,0.000657386157494815,1.47408267834926,1.62482984686265,3.4374570445751,3.79019134904084
"LRRC41",1402.21902913795,-1.57533108359253,0.199533721669539,-7.89506189936924,2.9017118901535e-15,5.04029640132175e-14,40.1687529850174,38.8525489852746,78.6522909484922,71.5214029890434
"LRRC57",1552.42633005316,-1.96074369221387,0.219132546148652,-8.94775206455989,3.6279480455751e-19,8.85969009801329e-18,38.7356170477334,32.4965969372531,94.5300687258153,82.153628072067
"LRRC61",246.220544229519,2.2599735195669,0.389353164769628,5.80443084597521,6.45850091189957e-09,5.07026797567632e-08,24.9365653087417,20.8360533303564,3.84667812131023,2.21504689229659
"LRRCC1",92.2836356610195,3.24146242959223,0.506568808867261,6.39885909446433,1.56542217955436e-10,1.51794344092172e-09,10.0728983020533,8.64982947888648,0.53198739975567,0.738348964098865
"LRRFIP1",1507.06615951093,2.03802134389997,0.329925919733727,6.17720894904163,6.5244700683057e-10,5.87519563052634e-09,159.323769484916,113.116830809527,16.0005441003436,26.2359998576463
"LRRN1",16.3119847077027,4.5950692362293,1.45141691960541,3.16591957428645,0.0015459353056481,0.00423030798130211,2.12923053539338,1.38588428114756,0,0.0984465285465153
"LSM4",1831.58775502256,1.53033119559823,0.189109765903677,8.0922906772446,5.85529710391952e-16,1.09309890645245e-14,151.666728905713,153.355264075949,33.5561282922808,33.816382555728
"LSM5",1374.71159016142,2.37156295473497,0.200564500540911,11.8244402590638,2.91841513760133e-32,2.07678186888663e-30,134.469097658305,124.012748606135,16.0414662080171,15.8006678317157
"LSM6",453.088846559502,1.1611830623637,0.290209785666542,4.00118507271127,6.30260372599601e-05,0.000238210345280649,30.9147895042693,39.1392836641328,9.24839633421396,10.7798948758434
"LSM8",1123.61072897312,1.32384685677255,0.211632915270149,6.25539205507169,3.96518524540476e-10,3.66502736788948e-09,97.0847230657251,83.1530568688535,23.0391466201879,22.8395946227915
"LSMEM2",27.4733937313457,-3.99261625100152,1.04663310539048,-3.81472383248565,0.000136335314834286,0.000480440422562995,0.0818934821305146,0.286734678858115,2.65993699877835,1.03368854973841
"LSR",332.943291918264,1.86979333185215,0.294025473885264,6.35929025857736,2.02688082357258e-10,1.9440430855657e-09,31.1195232095956,27.5743182835221,5.68817296661832,4.5285403131397
"LTA4H",1915.20112332337,1.36592902251705,0.313128152274094,4.36220446036868,1.28758453641283e-05,5.57854956594443e-05,197.977493050519,112.782307017525,37.1572737675499,39.4278346828794
"LTBP1",325.213906557174,1.48302342622693,0.34280299993352,4.32616816805727,1.51725604794864e-05,6.4823760654126e-05,27.5981034779834,26.0928557760885,4.74696449012752,7.53115943380842
"LUM",40.3916038312201,2.96610699808778,1.02894267671692,2.88267467683604,0.00394314444565174,0.00970101484807554,6.46958508831066,1.62482984686265,0.122766323020539,0.541455907005834
"LVRN",379.88546156735,-3.3803791934676,0.293906332700711,-11.5015527648051,1.29563353916573e-30,8.1530152856768e-29,4.25846107078676,3.20187058058229,25.3717067575781,24.2178460224428
"LY6D",225.967931005768,-3.76867657122297,0.809456608053091,-4.65581049524991,3.2270866202224e-06,1.5920133621045e-05,1.35124245515349,2.10272097829285,3.56022336759564,26.5313394432859
"LY6E",15184.9011550834,2.91667101144374,0.324643511623064,8.98422702755329,2.60559318297494e-19,6.4826374755369e-18,1602.57355181204,1407.1504364962,164.629639170543,89.3894479202359
"LY6G6C",635.894126310239,-1.10114027133149,0.273182130617705,-4.03079172434027,5.55892866158875e-05,0.000212530270839944,26.1240207996342,19.3068017097798,33.5970503999543,28.4510467499429
"LY6K",48.9692246705667,-2.75591791559676,0.784431943394931,-3.51326579546145,0.000442634445857343,0.0013893074520673,0.696094598109374,0.716836697145289,1.47319587624647,4.62698684168622
"LYN",566.998525899723,1.29338214734103,0.234313974356803,5.51986773683214,3.39254917718811e-08,2.40255649594766e-07,45.983190216284,44.3482969967219,12.3175544097274,11.1736809900295
"LYPD3",7715.85620455487,1.33737486657913,0.350729584258272,3.81312249266747,0.000137222058874613,0.000482794038081971,590.533899643141,647.924795993055,104.801517751867,208.06673808306
"LYPD5",1254.54395212579,1.34343109313048,0.373952394034245,3.59251903333839,0.000327496725295778,0.00105802944984499,104.29134949321,97.5375799249023,16.5325315000993,34.2101686699141
"LYSMD2",19.7360492538278,3.91639394832791,1.16236195106533,3.36934114605047,0.000753481088461656,0.0022351133318867,2.74343165137224,1.43367339429058,0.122766323020539,0.0492232642732576
"LYSMD4",117.046040460864,1.83075459153604,0.497921262825161,3.67679536549313,0.000236182353415855,0.000787752821412178,9.54059066820495,10.8959177966084,1.22766323020539,2.46116321366288
"LYZ",36.8012133669083,-7.54351995326473,1.57936144370325,-4.77631006084134,1.78541033103239e-06,9.29283961523581e-06,0.0409467410652573,0,2.08702749134917,3.15028891348849
"LZIC",1060.69767671773,-1.0341320789341,0.21915173125622,-4.71879493265354,2.37245823152935e-06,1.2059084928004e-05,41.3562084759099,36.7498280069818,54.5900916364665,47.3527802308738
"LZTS1",37.7763977214151,4.88623897345169,0.990244493374224,4.93437631427971,8.04072800305646e-07,4.48302762630393e-06,3.39857950841636,4.77891131430192,0.122766323020539,0.0492232642732576
"M1AP",701.550349109583,-1.20230825390633,0.352755020492452,-3.4083377530046,0.000653599402846414,0.00196927878353634,31.2833101738566,16.5828222606277,36.2979095064061,33.6687127629082
"M6PR",2775.58754923837,1.05105943413861,0.191386379617597,5.49181940866797,3.97814063888147e-08,2.77763494658278e-07,225.739383492764,194.501690492088,64.1658648320686,65.0731553692466
"MACC1",372.108834064222,5.59079894851498,0.64142690751493,8.71619023619592,2.87719712032069e-18,6.53217514315003e-17,60.314549589124,22.0785702720749,0.818442153470262,0.246116321366288
"MACF1",1421.96501414188,1.85887869708671,0.23461723231537,7.92302713122122,2.31796974894324e-15,4.07987335066659e-14,140.078801184245,110.297273134088,20.5428980521036,23.4302737940706
"MAD2L1",679.223400216062,3.5795950842398,0.254695506978379,14.0544100157356,7.23826167251383e-45,9.12434585689457e-43,73.1718262836148,67.4304386448001,3.47837915224861,4.03630767040713
"MAD2L1BP",1292.77414927606,-1.13986286747493,0.252512260382901,-4.51408920005103,6.35894506062071e-06,2.94290198679636e-05,48.1943142338079,42.3889433578581,73.0050400895474,54.1948139648567
"MAFF",528.74448068105,-2.06237000291218,0.344667719604708,-5.98364710590671,2.18195788297332e-09,1.84068798846621e-08,8.59881562370404,14.2411557166197,32.2056987390548,28.7956095998557
"MAFG",1349.88933004954,-1.49439082247402,0.240538178523468,-6.21269700987704,5.20828177043628e-10,4.76082993877725e-09,35.2551440571865,43.9181949784347,75.051145473223,67.435872054363
"MAGED1",6153.53917244725,2.30087429067985,0.206598943121941,11.1369122025072,8.294548627889e-29,4.59358349952882e-27,622.103837004454,526.349292157214,68.4217640301139,80.0862509725902
"MAGEF1",362.046029255501,1.32939745953889,0.286610988913824,4.63833387748646,3.51229075808724e-06,1.71925593469093e-05,32.7164461111406,25.4715973052293,7.65243413494695,7.0881500553491
"MAGI1",90.1592231121245,3.18720327998264,0.633941432108365,5.02759895244996,4.96659216947497e-07,2.87441250350549e-06,12.6525429891645,5.68690446401929,0.777520045796749,0.492232642732576
"MAGI3",64.8891032565352,3.29981588190048,0.67763087954858,4.86963623041903,1.11803881152816e-06,6.05269520126061e-06,8.92638955222609,4.34880929601475,0.368298969061618,0.492232642732576
"MALAT1",248465.143749333,-2.04959087117938,0.264108068578814,-7.76042504952001,8.46452157749909e-15,1.37131465850401e-13,5993.90679735556,4863.11573165992,17016.8446444153,11612.2602747042
"MAMDC2",55.1379256558787,-7.15459114159134,1.36677398644552,-5.23465562890747,1.65292749242864e-07,1.04330702383336e-06,0.0818934821305146,0,1.43227376857296,6.39902435552349
"MAN1A1",17.2895206329669,4.77805314325791,1.42096646785624,3.36253757660192,0.0007722961435137,0.00228478134902712,1.63786964261029,2.10272097829285,0.0818442153470262,0
"MAN1A2",8743.53868159793,-1.8755693940044,0.24208340920967,-7.74761641092041,9.36334829745359e-15,1.50770411271406e-13,178.814418231979,240.044715317386,511.935566995649,470.869746037983
"MAN1C1",149.547343138489,-2.82744141002584,0.455619802595152,-6.20570351402881,5.44527526997863e-10,4.96717184517141e-09,1.51502941941452,2.62840122286606,10.5169816720929,8.22028513363403
"MAN2C1",1244.57015428036,-1.18427728734644,0.220796365954638,-5.36366294900772,8.1551014308392e-08,5.42416696173808e-07,47.4572728946332,37.9445558355573,61.4650057256167,62.1689827771244
"MANBAL",2686.02987060537,-1.04220224892678,0.182188121104545,-5.72047311651418,1.06227835938074e-08,8.10860228648415e-08,97.1256698067903,99.6880900163382,128.413573879484,130.195534002766
"MANEA",110.423514645463,1.7774818772501,0.405257997175299,4.38605009559188,1.15427548285758e-05,5.04390567550445e-05,9.66343089140073,9.51003351546083,1.84149484530809,1.72281424956402
"MANF",1541.86433471905,-1.4336809974604,0.254423677101412,-5.63501405920228,1.75044056176206e-08,1.30015888190138e-07,45.4508825824356,47.9324804824483,93.1796391725893,67.7804349042758
"MAOA",7584.83293874138,-4.94800072399008,0.4502190516845,-10.9902073345787,4.25946489392342e-28,2.23723322761787e-26,14.0447321853833,38.9481272115607,494.01168383465,556.764342194817
"MAP1B",242.433073944244,-2.8990509983286,0.396462022683937,-7.31230441368087,2.62599354682832e-13,3.63193841022148e-12,4.13562084759099,2.29387743086492,13.954438716668,16.6374633243611
"MAP1LC3B",925.638100381426,-2.09305827096242,0.219206191315492,-9.54835380516236,1.31773440382708e-21,4.04675929676456e-20,19.3268617828015,20.0714275200681,50.7434135151563,56.5083073856998
"MAP2K1",322.45004344189,1.34840215465486,0.282636090739352,4.77080669750119,1.83489566396583e-06,9.53166366100931e-06,28.3351448171581,23.6556110057945,6.75214776612966,6.25135456270372
"MAP2K3",160.181368095309,1.94752898831524,0.380167192908737,5.12282233880912,3.00995927665327e-07,1.82083276900286e-06,12.6934897302298,15.7704073371964,2.20979381436971,2.51038647793614
"MAP3K13",1414.46221881664,-1.25201278224222,0.194890251898423,-6.42419397607824,1.32570067250793e-10,1.29881377507883e-09,47.74390008209,46.0687050698706,73.5779495969766,68.9125699825607
"MAP3K14-AS1",21.4615290825745,-3.30187699131998,0.903816020355054,-3.65326229781021,0.000258929487926899,0.000855514403944192,0.204733705326287,0.238945565715096,1.30950744555242,1.47669792819773
"MAP3K20",142.15540093001,1.21183463193718,0.373263787775495,3.24659040503028,0.00116796346800321,0.00330041939848218,10.7689929001627,11.4693871543246,2.74178121412538,3.39640523485478
"MAP3K3",113.010904640058,2.58559978736735,0.501749525131884,5.15316837955697,2.56121798901078e-07,1.5665564372711e-06,13.4714778104697,8.31530568688535,0.941208476490802,1.37825139965121
"MAP3K4",469.944950176537,1.44318476525762,0.342023030659226,4.21955434543686,2.44785713248723e-05,0.000100216013008354,30.7510025400082,46.0209159567275,7.93888888866154,10.1399924402911
"MAP4K4",1285.99056353471,1.28356196900863,0.388222213197674,3.30625586422864,0.000945517052132211,0.00273250299170785,100.032888422424,104.228055764925,16.9008304691609,36.6713318835769
"MAP7D2",128.119196923956,1.84857820509315,0.540823825455002,3.41807834286502,0.000630649513487725,0.00190490117766397,12.406862542773,10.0835028731771,1.14581901485837,2.85494932784894
"MAP9",80.5976008886859,2.50461352174503,0.497298626250209,5.03643764438004,4.74275513084366e-07,2.75533554181983e-06,8.02556124879043,7.35952342402496,0.982130584164315,0.738348964098865
"MAPK14",500.216300630244,1.15110759940347,0.275228312099944,4.1823735015512,2.88481533202241e-05,0.000116840317425485,42.0932498150845,35.3161546126912,9.78038373396963,12.4534858611342
"MAPK4",153.882147429502,-1.4988826855481,0.376472291310272,-3.98138912250726,6.85136796780926e-05,0.000257627006880464,3.84899366013419,5.16122421944608,8.22534364237614,8.02339207654099
"MAPK6",2678.98249855978,-1.53509255382894,0.209866823828385,-7.31460326041926,2.58142936317361e-13,3.57403755763241e-12,84.8416474872132,69.48537050995,150.184135161793,134.724074315906
"MAPK8IP1",24.7197423638677,3.62789888596274,1.01254609427081,3.58294689643278,0.000339739694237663,0.0010938444643468,3.43952624948161,1.72040807314869,0.163688430694052,0.0984465285465153
