"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AN_naive_TSC","H9_naive_TSC","AN_naive","H9_naive","AN_naive_TSC","H9_naive_TSC"
"AC004448.2",27.6331713314727,-6.86314282996558,1.82832785913855,-3.75378124643316,0.00017418689038303,0.000651890209421344,0.0409467410652573,0,1.28880290186861,4.19313356126879,0.0409467410652573,0
"AC004453.1",198.003690305116,-1.8956283020944,0.509776756521991,-3.71854596711615,0.00020037283355144,0.000739657342717178,4.29940781185202,3.4886052594404,20.1912454626083,10.8034852931513,4.29940781185202,3.4886052594404
"AC004486.1",121.616946584393,-10.4361440347675,1.67621546945746,-6.22601582250364,4.7844576881403e-10,5.48487383594314e-09,0,0,18.5265417143613,5.5744010873338,0,0
"AC004656.1",70.8490012935191,-4.18051586754753,0.73101559660864,-5.71877793981683,1.072929021691e-08,9.99003175450094e-08,0.491360892783088,0.191156452572077,6.76621523481022,6.61035173188256,0.491360892783088,0.191156452572077
"AC004692.1",50.5373817109137,-9.16896992331265,1.75516354721988,-5.22399746612557,1.75101175986338e-07,1.29677475145694e-06,0,0,7.35691656483334,2.66387308598252,0,0
"AC004884.1",49.1674452743294,-5.05802727772424,1.07652308075184,-4.6984847498037,2.62098755913319e-06,1.5204291638177e-05,0.122840223195772,0.143367339429058,7.14211608118857,2.31855620446627,0.122840223195772,0.143367339429058
"AC005000.1",21.3829006132805,-4.82587011969385,1.40871698342466,-3.42572012439428,0.00061317185229682,0.00200732415935556,0.0409467410652573,0.0955782262860385,3.00720677102677,1.08528162762251,0.0409467410652573,0.0955782262860385
"AC005099.1",222.926016266026,-6.67618747370079,0.812815618649465,-8.21365549642564,2.14554572326587e-16,5.84490627332799e-15,0.163786964261029,0.238945565715096,32.2737726676265,11.4941190561838,0.163786964261029,0.238945565715096
"AC005165.2",798.857494447599,-8.70625025426457,0.860369589870016,-10.1191980246302,4.5412123417062e-24,2.92974699149657e-22,0.163786964261029,0.191156452572077,127.537787164082,30.2892236072828,0.163786964261029,0.191156452572077
"AC005229.2",58.2476694614147,-7.93814312681805,1.65114278937058,-4.80766604676517,1.52702572735934e-06,9.31008686838817e-06,0.0409467410652573,0,8.10871825759003,3.40383783208878,0.0409467410652573,0
"AC005244.1",26.7084992619823,-6.81133400298521,1.8237790639241,-3.73473637115328,0.000187911927795122,0.000698003858027701,0.0409467410652573,0,3.92010882651703,1.33193654299126,0.0409467410652573,0
"AC005291.1",14.4630983082737,-5.87440018169915,1.88744861484175,-3.11234972730194,0.00185604479545917,0.00538412432800439,0,0.0477891131430192,1.396203143691,1.43059850913876,0,0.0477891131430192
"AC005291.2",20.3397804256534,-4.75674143028374,1.29766827740486,-3.66560662159092,0.000246752978203215,0.00089332805140065,0.0409467410652573,0.0955782262860385,1.87950423189173,2.02257030602377,0.0409467410652573,0.0955782262860385
"AC005355.1",86.0442487262219,-7.52534439407053,1.3158109118919,-5.71916855686388,1.0704656415028e-08,9.97914735570235e-08,0.0818934821305146,0,12.2436275677518,4.73577437508004,0.0818934821305146,0
"AC005412.1",21.3802122280102,-4.06182161992262,1.18845489430866,-3.41773309140642,0.00063144998204341,0.00206016235148695,0.0818934821305146,0.143367339429058,2.52390568282604,1.47992949221251,0.0818934821305146,0.143367339429058
"AC005476.1",23.5005608508663,-8.06416556660266,1.92879934323178,-4.18092508943457,2.90325506988953e-05,0.0001316239045064,0,0,3.32940749649392,1.33193654299126,0,0
"AC005534.2",19.0919392422075,-6.32270386273205,1.83345364129403,-3.44852126082095,0.000563665093112046,0.00186026371376169,0.0409467410652573,0,2.41650544100365,1.33193654299126,0.0409467410652573,0
"AC005833.2",372.590447604109,-10.6146963691018,1.48220136148352,-7.16144016928822,7.98338569999059e-13,1.3956442642648e-11,0.0409467410652573,0,46.3432043463589,27.6253505213002,0.0409467410652573,0
"AC006058.1",33.6814878856148,-8.58413801869275,1.71777468344795,-4.99724329471575,5.81556779858961e-07,3.87177201582268e-06,0,0,3.54420798013869,3.15718291672003,0,0
"AC006122.1",51.7559574616475,-2.81307778661839,0.886695599876865,-3.17254059567798,0.00151111431352337,0.00448505709340074,0.573254374913602,0.62125847085925,6.71251511389903,2.26922522139252,0.573254374913602,0.62125847085925
"AC006329.1",669.354267613438,-3.12256084186515,0.268461783027622,-11.6313048607886,2.85696584572822e-31,3.19214176632488e-29,6.67431879363694,6.11700648230646,54.8815235712385,64.7222497927605,6.67431879363694,6.11700648230646
"AC006445.1",120.047786010732,-8.96508072660166,1.59601105688492,-5.61717958527154,1.94099657542097e-08,1.71312113316634e-07,0,0.0477891131430192,17.2914389334039,6.4623587826613,0,0.0477891131430192
"AC006483.1",112.239716081056,-5.37533052090463,0.817321780152146,-6.57676162735318,4.80804640223989e-11,6.48602515101809e-10,0.204733705326287,0.286734678858115,15.5193349433346,6.21570386729255,0.204733705326287,0.286734678858115
"AC006539.2",31.5838228270808,-5.34742081896551,1.52103338404033,-3.51564987006472,0.000438679089391697,0.00149052289099396,0,0.143367339429058,4.67191051927372,1.43059850913876,0,0.143367339429058
"AC006946.1",27.6168600922175,-5.76452058992303,1.61184580697663,-3.57634741795536,0.000348428531315794,0.001215204597231,0,0.0955782262860385,4.1349093101618,1.23327457684376,0,0.0955782262860385
"AC007016.1",243.586340741467,-7.36303017156907,0.908055384655579,-8.10856947273301,5.12191770052407e-16,1.32954291286836e-14,0.0409467410652573,0.238945565715096,34.636577987719,13.3686964129864,0.0409467410652573,0.238945565715096
"AC007160.1",42.1333665238772,-3.05318227611859,0.941090223845064,-3.2443034671469,0.00117738235426344,0.00360199573817222,0.409467410652573,0.430102018287173,5.5311124538528,1.92390833987627,0.409467410652573,0.430102018287173
"AC007161.1",29.6616832067583,-5.87393219101738,1.55879643386675,-3.76824841486614,0.000164397060133342,0.000618705948302662,0,0.0955782262860385,4.29600967289538,1.47992949221251,0,0.0955782262860385
"AC007207.2",187.664782167289,-11.0620607468855,1.55878419063158,-7.09659541928215,1.27867674339329e-12,2.18096423743155e-11,0,0,24.4335550145925,12.8260555991751,0,0
"AC007283.2",45.5528733450479,-9.01912694018449,1.78380730089101,-5.05611056512633,4.27893319552507e-07,2.92710163894415e-06,0,0,6.71251511389903,2.31855620446627,0,0
"AC007318.1",165.492797921495,-1.52810050459428,0.456541879953291,-3.34712010374738,0.000816558239163412,0.00259277419474066,3.68520669587316,4.20544195658569,14.5527327669331,9.86619661475008,3.68520669587316,4.20544195658569
"AC007326.5",35.3474502093198,-8.65317231767521,1.80179489079645,-4.80252905692846,1.56674075016216e-06,9.5354267640356e-06,0,0,4.94041112382969,2.07190128909752,0,0
"AC007389.5",34.0510024579625,-8.60047638492133,1.72977082412274,-4.9720322860013,6.62546678620155e-07,4.34715201601879e-06,0,0,2.792406287382,3.99580962897378,0,0
"AC007618.1",17.3754377257319,-7.62855368786772,2.02062140156413,-3.77535033626912,0.000159782937097984,0.000602369952839562,0,0,2.36280532009246,1.08528162762251,0,0
"AC007663.1",23.5548668845522,-8.06880558382914,1.83877877657716,-4.38813286655886,1.14327927160958e-05,5.69571020644527e-05,0,0,1.93320435280292,2.76253505213002,0,0
"AC007683.1",295.892026234949,-5.63746445227769,0.675147626196239,-8.34997300373992,6.8278570822565e-17,1.97151176687852e-15,0.696094598109374,0.382312905144154,41.4564933434404,16.0819004820426,0.696094598109374,0.382312905144154
"AC007688.1",112.738054741247,-2.54707118494996,0.670745678648942,-3.79737248561993,0.000146237960217202,0.000556064884978801,1.71976312474081,1.33809516800454,13.4787303487093,5.62373207040755,1.71976312474081,1.33809516800454
"AC007690.1",34.6627270983102,-8.62490538328574,1.83505917776151,-4.7000693426175,2.6007316510725e-06,1.51152210056114e-05,0,0,5.04781136565207,1.82524637372877,0,0
"AC007790.1",87.2694847918439,-4.98550626150841,0.844130248201169,-5.90608649806409,3.50330081639185e-09,3.49175147304111e-08,0.163786964261029,0.334523792001135,11.5992261168175,5.17975322274379,0.163786964261029,0.334523792001135
"AC007992.1",84.7780594804326,-9.91545984332415,1.72266518715263,-5.75588333546887,8.61898969968071e-09,8.15314123799858e-08,0,0,13.0491293814197,3.74915471360503,0,0
"AC008021.1",232.056960191227,-5.44889836628119,0.691397533328051,-7.88099190931858,3.24792340786594e-15,7.71644545853388e-14,0.532307633848345,0.430102018287173,32.7570737558273,12.2340838022901,0.532307633848345,0.430102018287173
