"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AN_naive_TSC","H9_naive_TSC","AN_EVT","H9_EVT"
"MMP14",1774.04765552075,-1.76498726072989,0.498210155732037,-3.54265612698427,0.000396118864599771,0.00328653722168864,36.1559723606222,38.9959163247037,54.0766376726462,178.932783993574
"MMP15",2970.88788004589,-2.7458213572292,0.612095687984346,-4.48593481563527,7.25949349393874e-06,9.5203680073003e-05,24.4042576748934,47.0244873327309,76.5111978134156,366.17501631728
"MMP2",84347.7911424518,-9.33285750738055,0.304053253862036,-30.694812138453,6.67536950185777e-207,8.95567572369238e-203,10.8918331233584,13.4287407931884,6256.76512992578,7693.83006682794
"MMP2-AS1",37.061348106073,-8.72787498175824,1.67651414636451,-5.20596560469501,1.92990393164532e-07,3.59106673328067e-06,0,0,3.7390933567949,2.27710843662284
"MNS1",55.57667576266,3.06082558068142,0.74716317767978,4.09659586033994,4.19269916867803e-05,0.000456503125590747,5.44591656167922,3.82312905144154,0.654341337439107,0.319594166543556
"MOB3A",3942.14581759644,-1.45198762377976,0.285347220281659,-5.08849401913409,3.60918162149164e-07,6.3295138083571e-06,96.3067349854852,100.35713760034,214.857652014827,263.305643961072
"MOCOS",327.729895849977,-2.18925679524281,0.647801267745973,-3.37951915849182,0.000726127462873273,0.00551314433611082,2.33396424071967,8.55425125260044,13.3672587505418,31.9594166543556
"MORF4L2",19322.9771733252,-2.1813053298992,0.286095998571152,-7.62438251773283,2.45205262654026e-14,1.3211541380588e-12,306.854877543038,343.221410593164,1288.77200275328,1319.80406001243
"MPC2",651.300562684767,1.24009295133847,0.366487845737244,3.38372190445727,0.000715103944660326,0.00545414128570946,37.5891082979062,47.5501675773042,12.8063947470225,19.455294888339
"MPP1",2293.89437733383,3.77850648140508,0.525277753755367,7.19334952678161,6.32208214895612e-13,2.85579306769008e-11,179.346725865827,218.444036176741,18.6954667839745,6.27203551841729
"MPP2",39.5581525135638,2.82217698605289,0.843420006099342,3.3461110308551,0.000819535722608686,0.00611506743855291,3.6442599548079,2.81955767543814,0.560864003519235,0.239695624907667
