"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","EVT_wt_1","EVT_wt_2"
"AQP2",47.7799483813672,2.67674978082321,0.450373299578237,5.94340246930695,2.7916587869284e-09,3.96121688924157e-08,0.498914196403893,0.748573359534233
"RACGAP1",3056.56110008228,-0.769521809544381,0.0766207902321581,-10.0432507575654,9.83775540635325e-24,6.31490204179247e-22,281.498476593219,296.310288148967
"COX14",685.866033214382,0.573680511903592,0.0974597931637526,5.88633007808349,3.94865325083659e-09,5.50443079847748e-08,31.5978991055799,33.872944518924
"CERS5",2673.3335513495,-0.532129276978672,0.144397415115109,-3.68517176401306,0.000228548454872998,0.00115214404326403,234.48967230983,219.144851003647
"LIMA1",7676.84455641997,-1.09872531760624,0.111520922616584,-9.8521899911439,6.70664396580277e-23,4.09074935108694e-21,825.370385584174,842.893602835546
"AC008147.2",20.2730102573682,-1.28484415902091,0.478744212332138,-2.68378003519242,0.00727949829403884,0.0230292506462435,2.55000589273101,2.18333896530818
"METTL7A",154.86489174398,2.0321065401251,0.212758625996372,9.55122985311882,1.2816564561284e-21,6.9946271370894e-20,3.21522482126953,2.86953121154789
"LETMD1",690.89584837093,0.685607021440798,0.114976377646375,5.96302506197816,2.47610426262274e-09,3.53205137144493e-08,34.1479049983109,27.6972143027666
"ANKRD33",36.4011425836635,0.951904978330127,0.394048614631597,2.41570441560892,0.0157048044743608,0.0439304345952239,1.60761241063477,1.18524115259587
"KRT80",37.8559922182687,1.81708548193959,0.386452417989731,4.70196432303828,2.57670529884473e-06,2.12769650627139e-05,0.886958571384699,0.810954472828752
"KRT86",90.6651978209987,0.665974251554068,0.204923893363565,3.24986140280154,0.00115461265222449,0.00477575285424549,3.49239937482725,4.74096461038347
"KRT81",218.569279085808,1.24720901425924,0.184803389958061,6.74884272708568,1.49029019949456e-11,2.94130481540069e-10,5.48805616044282,8.60859363464368
"KRT18",61564.7147751945,0.559009480756347,0.112143289548921,4.98477869701233,6.20327721763067e-07,5.78686345284854e-06,3012.72109244026,2913.26037196735
"ESPL1",100.683164005833,-1.48292303036375,0.183190170572523,-8.09499235537135,5.72679486024731e-16,1.86017336665382e-14,11.6967661601357,13.6614638114997
"AAAS",1701.64220931629,-0.515842684717728,0.0966473158573009,-5.3373720743509,9.4303393228946e-08,1.02765540883281e-06,137.035099278936,149.527528566963
"HOXC9",16.8095484193184,-1.38985313870869,0.560040819660472,-2.4816997081593,0.0130757416112439,0.0377837078069812,2.10652660703866,1.99619562542462
"CBX5",3102.92416337275,-0.513468345765537,0.0794328133002098,-6.46418431416907,1.01846674285329e-10,1.78861041988901e-09,259.878861415717,262.12543806357
"NFE2",86.3327613826342,1.11441167777327,0.248059253555829,4.49252209622753,7.03846129753049e-06,5.23322991123613e-05,2.49457098201946,3.55572345778761
"ITGA5",12587.7182592481,-1.19107452689931,0.158509638182672,-7.51420885540521,5.72561163081313e-14,1.50744618717502e-12,1410.54130305523,1427.52939663178
"MMP19",775.011518451743,-0.817975222011521,0.151986652182056,-5.38188854263148,7.37084010659331e-08,8.20470063062574e-07,73.5066916035069,76.1049582193137
"DGKA",661.306300396071,-0.650317170979341,0.15912946080318,-4.08671761782495,4.37519097798657e-05,0.000268201793466389,59.5370941041979,58.8877709500263
"MYL6",6490.49584956958,-0.552741470981153,0.111089258844254,-4.9756518022691,6.50284492682115e-07,6.03707641966592e-06,565.824133632726,546.021884666928
"PAN2",284.703733829619,-0.975652271553681,0.131053845296962,-7.44466726132988,9.71890652969021e-14,2.52429402736463e-12,29.2141979449835,29.5686477016022
"STAT2",2656.95792359185,-0.680604839067416,0.0950154043004457,-7.16309996340481,7.88727910434378e-13,1.82995735501814e-11,255.056024183812,227.566301298407
"SPRYD4",284.71496273278,0.634006415291611,0.147208728587903,4.30685341401497,1.65593266521657e-05,0.000112509941164916,13.7478578564628,12.4762226589039
"TAC3",204.487879248183,-0.771272857892978,0.19224710574986,-4.01188280512536,6.02364032904526e-05,0.000356447197697674,20.3446122311365,18.2776661952942
"STAT6",254.701843050873,-1.90342605954566,0.518608220403134,-3.67025817305028,0.000242305612565812,0.00121558602805625,35.7555174089457,37.9900979963623
"PPM1H",108.337977851894,1.01190154528163,0.225767442094642,4.48205257539943,7.39285237399028e-06,5.46357730270773e-05,4.32392303550041,3.68048568437664
"SRGAP1",77.4204943487347,-0.712648325796685,0.20954845873091,-3.40087600793011,0.000671702875927937,0.00297749252466576,7.59458276748148,6.61239800921905
"RAP1B",4344.61384141342,0.761469332684405,0.0839492983334434,9.07058602991389,1.18378591151665e-19,5.57952240812741e-18,181.881942044575,190.636682228051
"RPL10P12",70.5563767633012,0.724141933125489,0.290254411619296,2.49485246093448,0.0126009511922203,0.036631620028279,2.99348517842336,3.18143677802049
"CPM",3576.95349645059,-0.804325238394789,0.118358995894998,-6.79564094231031,1.07832037208233e-11,2.17601176881285e-10,349.461677125571,337.045155130288
"PRELID2P1",17.8529708352178,1.39484373637353,0.510764354789993,2.73089483103619,0.00631626240778372,0.0204278352343869,0.665218928538524,0.374286679767116
"LINC01481",27.0898135354409,0.95126235191613,0.386218587044254,2.46301546281389,0.0137773973962072,0.0394643682322298,0.831523660673155,1.24762226589039
"PTPRR",100.731233661446,2.06319117416237,0.258825923388185,7.97134671501978,1.56954485885755e-15,4.94333287322425e-14,1.94022187490403,1.9338145121301
"TMEM19",182.669285814937,-0.688906817022447,0.157300778123044,-4.37955123453726,1.18923959823066e-05,8.35380395213616e-05,15.9652542849246,17.3419494958764
"GLIPR1",58.284463710961,-1.70060127237544,0.284939594384997,-5.9682869839341,2.39757393834991e-09,3.434519174011e-08,8.14893187459692,7.67287693522589
"PHLDA1",381.024739194125,0.638663255146477,0.13210922681061,4.83435767936221,1.33576227793521e-06,1.16168229074624e-05,14.7456862492706,20.3986240473078
"ACSS3",64.6938748939609,1.16701933893709,0.274437058083164,4.25241163525169,2.11480673658446e-05,0.000139265240884995,1.88478696419248,2.49524453178078
"ALX1",27.1752472037329,-1.19076907144444,0.389246025230045,-3.05916822333816,0.00221952479559762,0.00836432603988145,2.77174553557718,3.36858011790405
"CEP290",131.006975080749,-1.08074720086088,0.157084639625811,-6.88003106755256,5.98395089753911e-12,1.26630546465977e-10,13.1935087493474,15.0962294172737
"TMTC3",1340.99629867898,-0.94553313585349,0.0926892531464493,-10.201108583317,1.96022120306692e-24,1.34815213353786e-22,131.214433654224,142.416081651388
"ATP2B1",665.556866882662,-0.644335615315493,0.126054405294905,-5.11156761089046,3.19496436239565e-07,3.15055739612972e-06,56.5990438364861,62.3811132945194
"AC018475.1",100.248851428371,0.744734652430197,0.222886274464055,3.34132128243859,0.000833806767861972,0.00358523611827093,4.49022776763504,4.1795345907328
"NTN4",47.525097141352,-4.68160161535276,0.342055074310028,-13.6866895624811,1.21939434980142e-42,2.65119932827792e-40,10.7543726780395,11.4781248461916
"SNRPF",642.169932033548,-0.579501247104418,0.101480725236311,-5.71045630345044,1.12673664868155e-08,1.45762092363025e-07,56.3773041936399,54.9577608124716
"CDK17",460.668617888204,-0.789479732367509,0.115971238058858,-6.80754767804434,9.92764151781514e-12,2.01543083825524e-10,40.4674848194269,47.4096461038347
"IKBIP",170.753975857952,-0.914047903222852,0.24204985007672,-3.7762795677549,0.000159188310874389,0.00083789864528964,17.739171427694,16.6557572496367
"APAF1",38.7815606725724,-0.86942428154776,0.279788275139428,-3.10743643962384,0.00188717561962665,0.00729332779603418,3.54783428553879,4.11715347743828
"DEPDC4",31.0291163583635,-0.854771987586242,0.324318264458417,-2.63559620674967,0.00839896126770587,0.0259495754959145,2.93805026771181,3.18143677802049
"WASHC3",314.08079995672,-0.602172432193595,0.130958242913047,-4.59820182982619,4.26153058953502e-06,3.34763591765338e-05,26.9968015165218,28.0091198692392
"NT5DC3",1042.23272323261,0.83715529769854,0.122112584795122,6.85560214046001,7.1012761525235e-12,1.48411166722507e-10,44.7914078549273,40.6724858680266
"NFYB",1612.42470598535,-1.42765071819705,0.0833735020308857,-17.1235546477126,9.90387470174386e-66,6.35734433235749e-63,191.472181597672,206.35672277827
"TXNRD1",11260.710860376,0.59743820172921,0.100687416322403,5.93359352688327,2.96375041829975e-09,4.1877731277443e-08,520.866421045664,539.783773337476
"CHST11",103.894610844675,-1.41266876457998,0.194483315185452,-7.26370158402999,3.76638445550813e-13,9.06622543933027e-12,12.5837247315204,12.9128904519655
"ALDH1L2",264.148837418456,0.592674343795204,0.164633900531891,3.59995324098149,0.000318274408998992,0.00155053813997341,12.1402454458281,12.850509338671
"C12orf75",2338.61499707612,-0.511915938663741,0.135764273509865,-3.77062334168896,0.0001628402946886,0.000855017360032832,188.922175704941,204.235764926256
"TCP11L2",67.599181727882,0.686320800381689,0.23768497418649,2.88752287657526,0.00388288369011033,0.013521382625339,2.82718044628873,3.24381789131501
"CRY1",313.89883451831,-0.574782131633942,0.115258792488368,-4.98688316287843,6.13611469724455e-07,5.73214318217994e-06,28.4381091950219,25.8881620172255
"FICD",1199.10513469772,1.03740650548237,0.0777421246128143,13.3442005945818,1.28036684714729e-40,2.57602165664858e-38,42.9620558014463,44.4777337789923
"DAO",24.6948544012776,1.24844600172801,0.463919591105353,2.69108273430189,0.00712205300141163,0.0225894763433009,0.942393482096242,0.623811132945194
"SVOP",37.6476873344002,1.54981499960621,0.36067092138668,4.2970334110873,1.73099112783138e-05,0.000117019861600637,0.886958571384699,1.12286003930135
"USP30",172.593474065035,0.534983442357978,0.152323163982782,3.51216077955451,0.000444479017195419,0.00208113134831339,8.03806205317383,8.79573697452723
"UNG",405.254007317784,0.637235365927584,0.151201452743945,4.21447912280792,2.50355308333508e-05,0.000161705297380723,17.8500412491171,19.46290734789
"ACACB",131.004111584228,0.826414011530328,0.214602574439134,3.85090446230745,0.000117682403638432,0.000643814448476488,5.04457687475047,5.8014435363903
"TRPV4",43.7601398311903,-0.991571189457236,0.316184429035414,-3.13605319680741,0.00171238139796908,0.00670179211609793,5.26631651759665,3.80524791096568
"GLTP",1049.72909661024,0.545583234450903,0.123661702784325,4.41190135803355,1.02466797072997e-05,7.3043491514754e-05,49.6142450868316,52.2129918275127
"GIT2",164.128574990624,-0.528333225760684,0.173831350325883,-3.03934373615699,0.0023709416543797,0.00885326689779456,12.3065501779627,15.5328972103353
"ANKRD13A",364.889237438144,-0.868256361893855,0.157880651435458,-5.49944755104333,3.80983007440311e-08,4.508912151269e-07,37.5294345517151,34.4343745385747
"TCTN1",24.0681717539775,-1.30559615647149,0.354020876841873,-3.68790724467543,0.000226106037541012,0.00114068465046888,2.43913607130792,3.24381789131501
"ALDH2",762.945942946107,-0.662730126511297,0.130419918956389,-5.08151003170695,3.74446234259169e-07,3.63917464874809e-06,67.1316768716794,70.3035146829233
"OAS1",15.6528679323758,-4.72288535376718,1.73410996694556,-2.72352125516354,0.00645900592536743,0.0208177997083605,5.15544669617356,2.18333896530818
"OAS3",43.6241456415162,-5.5908039164079,0.46446942885555,-12.0369685690264,2.27150200954889e-33,3.00194579301167e-31,13.6924229457513,7.7352580485204
"OAS2",36.3550469193432,-7.15645819901773,1.12384303216164,-6.36784496964201,1.91702533640081e-10,3.21012441424633e-09,12.9717691065012,5.61430019650675
"PLBD2",166.62702912613,-0.509176564141795,0.172381245407514,-2.95378167699211,0.00313905992710761,0.0112508715281602,15.2446004456745,12.6633659987874
"WSB2",664.651012843181,-0.810045380422279,0.0852836709251202,-9.49824710446043,2.1345299485025e-21,1.12837112571818e-19,63.9164520504098,63.9406411268824
"VSIG10",2846.77990650072,-0.673409100200018,0.0767518562602474,-8.77384773492184,1.72662666456642e-18,7.29621549791705e-17,255.166894005235,260.378766891324
"CIT",132.591255540729,-0.911746472448487,0.175551197148782,-5.19362150333712,2.06242232197591e-07,2.10776746779646e-06,13.359813481482,13.3495582450271
"PXN",2471.96751751416,-0.833127883888253,0.124866085694962,-6.67217106431542,2.52046523352423e-11,4.76519934753249e-10,246.297308291388,234.24108042092
"MSI1",26.0192514268767,-1.43299265988129,0.482737306532423,-2.96847299864745,0.00299283395401293,0.0108199790268945,2.27283133917329,4.1795345907328
"ACADS",143.198111889472,-0.720749758475816,0.165797493780065,-4.34716920047,1.37905834718376e-05,9.54297049283216e-05,14.8565560706937,11.6028870727806
"OASL",57.3416371000049,-1.2061439321651,0.359030746837345,-3.3594446792924,0.000780992860890137,0.00338513947421191,6.92936383894296,6.1133491028629
"MORN3",312.434135307946,0.964079200558246,0.187020389527834,5.15494167770816,2.53709881313259e-07,2.5485784695273e-06,12.750029463655,11.0414570531299
"RHOF",29.0352361937046,1.91633650267115,0.418352882770841,4.58067000752771,4.63488672544173e-06,3.59690691185691e-05,0.60978401782698,0.623811132945194
"LINC01089",110.46387569668,-0.575331274703895,0.222246230360598,-2.58871106056742,0.00963358902161264,0.0292018844190102,8.25980169602001,10.9166948265409
"HCAR2",119.253977813682,-2.54136564997087,0.259639683138954,-9.788047879456,1.26718706909523e-22,7.55826623513439e-21,20.2337424097134,20.897672953664
"HCAR1",89.5909741611788,-1.47728679864475,0.287285799034867,-5.14222005963288,2.71510825179261e-07,2.7130955696193e-06,11.1424170530203,11.3533626196025
"CCDC62",29.760247212232,-2.23913423592255,0.354943529761537,-6.3084238707686,2.81891327635646e-10,4.63401841040062e-09,5.26631651759665,4.1795345907328
"MPHOSPH9",177.807722697293,-0.940822561203887,0.193114692593024,-4.87183315039941,1.10567527010977e-06,9.79270869978951e-06,20.4554820525596,15.7824216635134
"AC073857.1",12.9184040764594,-1.30893443367361,0.480411964980298,-2.72460831346549,0.00643778102559062,0.0207710120212929,1.60761241063477,1.43476560577395
"C12orf65",248.559200982875,-0.544126536186784,0.122941862616386,-4.42588492322274,9.60477197399747e-06,6.89783304259381e-05,22.5065737488867,19.8995751409517
"RILPL1",62.7152176319357,-1.10348165528428,0.255918141425547,-4.31185397462457,1.6189134238032e-05,0.00011038418286731,6.76305910680833,6.86192246239713
"DDX55",781.831592114875,0.527057412128159,0.123164077424095,4.2793111688997,1.87472612839873e-05,0.000125478193698187,37.1413901767343,39.4872447154308
"ZNF664",343.505798830597,0.532361039705908,0.125920888520073,4.22774208443616,2.36048146690165e-05,0.000153939478344626,16.1315590170592,17.4667117224654
