"","EVT_a6_1","EVT_a6_2","EVT_b5_1","EVT_b5_2","EVT_d4_1","EVT_d4_2","EVT_wt_1","EVT_wt_2"
"AC006449.5",0.467363946411816,0.377690050171087,0.680631099305439,0.151881531190619,0.451037942608466,0.287911892511665,0.554349107115437,0.249524453178078
"PSMB3",254.012304874822,268.159935621472,296.358124489243,277.715379782047,262.109424398345,233.035885798942,334.494251233454,323.82035911185
"PIP4K2B",6.48467475646395,5.53945406917595,5.44504879444351,5.77149818524352,5.52521479695371,7.77362109781496,12.9163341957897,10.1681214670067
"CWC25",37.3891157129453,30.2781523553822,39.9303578259191,39.8689019375375,39.1275415212844,36.5072279704791,36.0881268732149,36.7424757304719
"C17orf98",0.233681973205908,0.314741708475906,0.226877033101813,0.455644593571857,0.225518971304233,0.172747135506999,0.221739642846175,0.374286679767116
"RPL23",531.860171016647,538.208321493799,496.123352135389,500.753408335471,518.35535554278,477.876159190862,474.411965869391,464.61453181758
"AC110749.1",0.99314838612511,1.25896683390362,1.02094664895816,1.06317071833433,1.12759485652117,0.690988542027996,1.05326330351933,0.748573359534233
"LASP1",25.354494092841,27.2566319540135,23.5384921843131,26.4273864271677,26.160200671291,29.1366835221805,38.8044374980806,38.4891469027185
"AC006441.1",0.350522959808862,0.50358673356145,0.680631099305439,0,0.33827845695635,0.230329514009332,0.60978401782698,0.249524453178078
"LINC00672",0.467363946411816,0.188845025085544,0.0567192582754532,0.151881531190619,0.169139228478175,0.230329514009332,0.110869821423087,0.124762226589039
"LRRC37A11P",0.058420493301477,0.125896683390362,0.397034807928173,0.379703827976548,0.563797428260583,1.09406519154433,0.0554349107115437,0.124762226589039
"AC091178.1",0.116840986602954,0.629483416951812,0.453754066203626,0.379703827976548,0.394658199782408,0.230329514009332,0.665218928538524,0.374286679767116
"PLXDC1",0.175261479904431,0.314741708475906,0.226877033101813,0.227822296785929,0.225518971304233,0.230329514009332,0.166304732134631,0.187143339883558
"ARL5C",0.175261479904431,0.125896683390362,0.17015777482636,0,0.112759485652117,0,0.554349107115437,0.249524453178078
"CACNB1",0.116840986602954,0.0629483416951812,0.17015777482636,0.151881531190619,0.281898714130291,0.057582378502333,0.0554349107115437,0.0623811132945194
"RPL19",796.855528632147,826.76351982451,826.059277523701,792.593770518246,748.159187301794,680.623713897576,773.039829872476,745.890971662568
