name	BT5_hTSC_1	BT5_hTSC_2	mean_RPKM_BT5_hTSC	bagel_BF	bagel_FDR	Class	NSC_vs_TSC_LFC	NSC_vs_TSC_padj	AN_naive_TSC_rep1	AN_naive_rep1	H9_naive_TSC_rep1	H9_naive_rep1	AN_naive_TSC_rep2	H9_naive_TSC_rep2	AN_naive_TSC_rep1.1	H9_naive_TSC_rep1.1	AN_naive_TSC_rep2.1	H9_naive_TSC_rep2.1
ANAPC4	8.12105738463183	8.55087292498549	8.33596515480866	2.437	0.046		0.653788601294058	0.0210897957575961	48.4335638117535	88.9198740541914	36.80074340373	72.7461508989261	58.6475146454802	45.1885311417374	48.4335638117535	36.80074340373	58.6475146454802	45.1885311417374
ANAPC5	38.7472840737542	41.4063918690417	40.0768379713979	3.018	0.033		0.222649472062572	0.314589152278803	373.155797733399	425.836954282497	318.429319386761	505.370917955676	411.154901928136	363.440802420281	373.155797733399	318.429319386761	411.154901928136	363.440802420281
ANKFN1	0	0.0200617634811666	0.0100308817405833	3.775	0.02		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANKLE2	1.52599686732757	1.159280633016	1.34263875017178	7.558	0.006		-0.858710328917605	0.00368562104310792	27.0670212665176	16.4507143050681	34.838675159838	23.0140572429732	32.023191248923	36.8845912393132	27.0670212665176	34.838675159838	32.023191248923	36.8845912393132
ANKRA2	6.37802673954064	5.97534419338144	6.17668546646104	2.608	0.043		0.32353732530875	0.342385190294136	15.5430319091063	23.5471008680386	12.4902393086782	21.927556686438	19.1903682852002	19.2047482834246	15.5430319091063	12.4902393086782	19.1903682852002	19.2047482834246
ANKRD11	2.367134230787	2.02905668934811	2.19809546006755	2.836	0.032		-0.490327138348332	0.0270354885160727	99.7788829415717	76.1248740391385	109.253702458668	77.9317217369351	83.3040263949136	105.278859890189	99.7788829415717	109.253702458668	83.3040263949136	105.278859890189
ANKRD13B	0.0854151251595999	0.033145357531872	0.0592802413457359	4.654	0.02		-0.260060742982555	0.775757587299718	1.88648936099971	1.12897058956349	1.10067242950038	0.839568611868122	0.655937215707981	0.800197845142693	1.88648936099971	1.10067242950038	0.655937215707981	0.800197845142693
ANKRD17	7.61037544561403	7.03117454457094	7.32077499509249	7.155	0.01	RBP,	-0.440582640059678	0.0951097745258911	95.4727659218984	94.2421639764193	109.110136489602	89.0436592469544	117.900509797768	132.757351930938	95.4727659218984	109.110136489602	117.900509797768	132.757351930938
ANKRD20A1	0	0	0	2.795	0.034		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANKRD20A3	0	0	0	2.801	0.034		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANKRD20A4	0.00358128457405523	0.00416915472787658	0.00387521965096591	2.378	0.048		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANKRD30A	0	0.00374932957581722	0.00187466478790861	3.239	0.031	TF,	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANKRD49	4.91510486367138	6.16986421182386	5.54248453774762	7.837	0.006		-0.417466091561594	0.155785631817988	19.8901595670622	12.9025210235828	15.5529799820705	16.741985848429	21.5450147005621	15.8680742499051	19.8901595670622	15.5529799820705	21.5450147005621	15.8680742499051
ANLN	49.9108953299666	48.2332228878975	49.0720591089321	2.746	0.036		-0.915733599747837	0.00238059151016471	110.687712724744	65.8028572202723	87.479530483769	72.9436964546598	142.99431302434	138.102069613589	110.687712724744	87.479530483769	142.99431302434	138.102069613589
ANP32A	9.65370291242204	8.78332140605476	9.2185121592384	10.317	0	Epi,	-0.659007496185799	0.0147486333699291	90.6335106045514	43.9760924887114	86.3310027312469	73.2400147882603	83.3376642008473	79.8084114985713	90.6335106045514	86.3310027312469	83.3376642008473	79.8084114985713
ANXA8L1	2.49282149593536	2.55629175581251	2.52455662587393	3.266	0.029		-2.17924471717733	0.000142969746698553	3.93702127512983	0.430084034119427	3.68485987267517	1.38281889013573	4.37291477138654	3.17059523547105	3.93702127512983	3.68485987267517	4.37291477138654	3.17059523547105
AOC1	0	0	0	2.474	0.047		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
APCDD1L	0.00819461868543333	0.00953977058484189	0.00886719463513761	4.349	0.019		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
APELA	0	0.0121740937667357	0.00608704688336787	6.633	0.018		10.2922293503379	1.81476429512651e-90	0.123031914847807	149.77676488209	0.143565969065266	98.427073144304	0.100913417801228	0.0452942176495864	0.123031914847807	0.143565969065266	0.100913417801228	0.0452942176495864
APIP	4.80583293333983	4.35457548227208	4.58020420780595	4.151	0.021		0.906646418373277	0.00334572784480618	19.1519680779753	37.7398739939797	13.5430564151568	26.520490857246	17.9962261745523	12.7427732320836	19.1519680779753	13.5430564151568	17.9962261745523	12.7427732320836
APOBEC3D	0.153337912300529	0.185946279892438	0.169642096096484	2.421	0.046	Epi,	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
APOD	1.59530986531208	2.11393413391564	1.85462199961386	3.443	0.028		6.85648388649616	6.1944194618852e-10	0.451117021108627	27.1490546537888	0.0957106460435109	8.44507250761464	0.0840945148343565	0	0.451117021108627	0.0957106460435109	0.0840945148343565	0
APPL2	5.66125327838884	5.66214986542977	5.66170157190931	4.322	0.019		-1.54162377684589	5.62499235110128e-08	18.0856914826277	7.90279412694446	17.4671929029407	7.11164000641233	21.1581799323241	23.2057375091381	18.0856914826277	17.4671929029407	21.1581799323241	23.2057375091381
AQP7	0.0307473699390617	0.0143178281536062	0.022532599046334	2.586	0.045		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARCN1	51.2930061851904	53.181066970949	52.2370365780697	4.789	0.021		0.039771037069939	0.872308172316392	116.224148892895	136.712962345713	119.68616287741	141.738936238912	124.140322798477	136.592262358603	116.224148892895	119.68616287741	124.140322798477	136.592262358603
